neuron,label,delta_spikes,rmse,accumulated_error,spikes_ref,spikes_test,precision,recall,f1_score
0,float16,-35,6.29603684027569,10189.76440744564,152,117,1.2991452991452992,1.0,1.1301115241635689
1,float16,-7,6.41285376501681,10528.150383736998,118,111,1.063063063063063,1.0,1.0305676855895198
2,float16,-4,5.974866630616909,9158.211869185881,144,140,1.0285714285714285,1.0,1.0140845070422535
3,float16,-14,6.285990866536898,10143.387885897822,147,133,1.105263157894737,1.0,1.05
4,float16,-11,6.416726969734542,10442.009189121338,144,133,1.0827067669172932,1.0,1.03971119133574
5,float16,6,6.30105778090725,9951.676134136558,142,148,0.9594594594594594,1.0,0.9793103448275862
6,float16,0,7.039930068990466,12527.345726736989,148,148,1.0,1.0,1.0
7,float16,-12,6.374369287578909,10338.74639704901,150,138,1.0869565217391304,1.0,1.0416666666666667
8,float16,4,5.887054066095321,8843.349730692915,129,133,0.9699248120300752,1.0,0.9847328244274809
9,float16,-53,6.4033596112221485,10463.137360008797,156,103,1.5145631067961165,1.0,1.2046332046332044
10,float16,-9,6.228648179087091,10057.508513608765,135,126,1.0634920634920635,0.9925925925925926,1.0268199233716473
11,float16,7,6.54735590347769,10840.125661263834,117,124,0.9435483870967742,1.0,0.970954356846473
12,float16,-15,6.232515229445179,10109.475803761592,132,117,1.1282051282051282,1.0,1.0602409638554218
13,float16,-5,6.843723855338416,11908.79136738445,146,141,1.0354609929078014,1.0,1.0174216027874565
14,float16,-9,6.500443196828756,10502.960600446193,134,125,1.072,1.0,1.0347490347490347
15,float16,22,6.428402665803856,10487.163379397995,133,155,0.8580645161290322,1.0,0.9236111111111112
16,float16,12,6.597023208742853,11008.199655519427,137,149,0.9194630872483222,1.0,0.958041958041958
17,float16,15,6.379655496360692,10251.34719727821,121,136,0.8897058823529411,1.0,0.9416342412451362
18,float16,-2,5.648320755752821,8094.31595188094,134,132,1.0075757575757576,0.9925373134328358,1.0
19,float16,11,6.430880627155917,10438.115809207411,119,130,0.9153846153846154,1.0,0.9558232931726908
20,float16,-6,6.646088294579387,11081.999756956811,157,151,1.0397350993377483,1.0,1.0194805194805197
21,float16,-12,6.441742494819521,10565.192398420799,136,124,1.096774193548387,1.0,1.0461538461538462
22,float16,16,6.445240779843475,10598.965021106062,133,149,0.8926174496644296,1.0,0.9432624113475176
23,float16,6,6.473303379903146,10525.334790104616,136,142,0.9577464788732394,1.0,0.9784172661870503
24,float16,-6,6.447631930699516,10599.811105977937,130,124,1.0483870967741935,1.0,1.0236220472440944
25,float16,5,6.490088963355246,10627.809160160072,144,149,0.9664429530201343,1.0,0.9829351535836178
26,float16,-21,6.450571064528418,10458.817279406992,178,157,1.1337579617834395,1.0,1.062686567164179
27,float16,-13,6.2605205526936905,10172.024374004897,124,111,1.117117117117117,1.0,1.05531914893617
28,float16,0,7.2970993109935565,13452.432612127444,154,154,1.0,1.0,1.0
29,float16,-48,6.468328788158082,10547.838604087965,154,106,1.4528301886792452,1.0,1.1846153846153846
30,float16,-1,6.757005953843825,11879.021684417694,125,124,1.0080645161290323,1.0,1.0040160642570282
31,float16,21,6.417618854084474,10443.02688037973,108,129,0.8372093023255814,1.0,0.9113924050632911
32,float16,-4,6.475659060880851,10619.039383761537,155,151,1.0264900662251655,1.0,1.0130718954248366
33,float16,-3,6.049094665397388,9442.69914816109,132,129,1.0232558139534884,1.0,1.0114942528735633
34,float16,-25,6.475116366454201,10588.634582651102,154,129,1.193798449612403,1.0,1.088339222614841
35,float16,23,6.369034637779255,10376.534375064799,132,155,0.8516129032258064,1.0,0.9198606271777003
36,float16,-16,6.534167324705486,10679.163151520475,141,125,1.128,1.0,1.0601503759398494
37,float16,22,6.571139301036708,10748.812681688003,142,164,0.8658536585365854,1.0,0.9281045751633987
38,float16,9,6.310868302406513,10229.94613234013,133,142,0.9366197183098591,1.0,0.9672727272727273
39,float16,-9,6.315794305929215,10176.962982726389,149,140,1.0642857142857143,1.0,1.0311418685121108
40,float16,-31,6.30497726694178,10284.480232358459,155,124,1.2419354838709677,0.9935483870967742,1.1039426523297493
41,float16,-46,6.455812554003392,10479.34735988257,171,125,1.368,1.0,1.1554054054054053
42,float16,-45,6.377865714606941,10338.102399148873,152,107,1.4205607476635513,1.0,1.1737451737451736
43,float16,-14,6.478047479055286,10632.208937352465,146,132,1.106060606060606,1.0,1.0503597122302157
44,float16,-1,6.432775156533461,10300.256316791758,133,132,1.0075757575757576,1.0,1.0037735849056602
45,float16,17,6.525905968465994,10583.129637894857,134,151,0.8874172185430463,1.0,0.9403508771929824
46,float16,-1,6.0530784150773345,9214.62812698864,141,140,1.0071428571428571,1.0,1.0035587188612098
47,float16,-22,6.476746368828989,10591.184759655267,151,129,1.1705426356589148,1.0,1.0785714285714285
48,float16,16,6.329615585727529,10185.72214534762,149,165,0.9030303030303031,1.0,0.9490445859872612
49,float16,7,6.470306377427562,10635.4806043155,142,149,0.9530201342281879,1.0,0.9759450171821306
50,float16,-12,6.530508987096035,10753.218673946853,137,125,1.096,1.0,1.0458015267175573
51,float16,-7,6.19360903369823,9898.695356733671,146,139,1.0503597122302157,1.0,1.024561403508772
52,float16,-24,6.281576251875805,10140.88707491316,148,124,1.1935483870967742,1.0,1.0882352941176472
53,float16,-43,6.442773208447825,10463.250278816131,168,125,1.344,1.0,1.1467576791808873
54,float16,16,6.341068283861562,10309.717280680321,141,157,0.8980891719745223,1.0,0.9463087248322147
55,float16,-37,6.418228405294232,10435.859383319063,170,133,1.2781954887218046,1.0,1.1221122112211221
56,float16,3,6.404785288152587,10454.779759992893,119,122,0.9754098360655737,1.0,0.9875518672199171
57,float16,15,6.385186811469087,10382.507801185791,114,129,0.8837209302325582,1.0,0.9382716049382717
58,float16,-40,6.383608699009714,10403.219393174357,151,111,1.3603603603603605,1.0,1.1526717557251909
59,float16,18,6.298593527804263,10229.945565529728,132,150,0.88,1.0,0.9361702127659575
60,float16,46,6.376314683889934,10387.490569564467,110,156,0.7051282051282052,1.0,0.8270676691729323
61,float16,-10,6.391411098690724,10407.674693363057,150,140,1.0714285714285714,1.0,1.0344827586206897
62,float16,21,6.41484739013996,10471.83298414653,124,145,0.8551724137931035,1.0,0.9219330855018588
63,float16,4,6.387085738720291,10351.988157461014,133,137,0.9708029197080292,1.0,0.9851851851851852
64,float16,12,6.269490247411862,10144.089946457814,129,141,0.9148936170212766,1.0,0.9555555555555556
65,float16,2,6.767457466106609,11662.103378294603,138,140,0.9857142857142858,1.0,0.9928057553956835
66,float16,2,6.179309294379332,9732.667111823466,155,157,0.9872611464968153,1.0,0.9935897435897436
67,float16,-42,6.461867790483581,10529.982434216738,150,108,1.3888888888888888,1.0,1.1627906976744187
68,float16,-24,6.48579151771044,10698.317490160973,145,121,1.1983471074380165,1.0,1.0902255639097744
69,float16,-8,6.343040362468363,10187.816475094869,144,136,1.0588235294117647,1.0,1.0285714285714287
70,float16,18,6.4926191437726635,10583.162477987993,137,155,0.8838709677419355,1.0,0.9383561643835617
71,float16,-10,6.530759891959332,10767.972079052543,143,133,1.0751879699248121,1.0,1.036231884057971
72,float16,-9,6.33362078117508,10315.696346246103,133,124,1.0725806451612903,1.0,1.0350194552529184
73,float16,-9,6.441486717932117,10616.431489595312,133,124,1.0725806451612903,1.0,1.0350194552529184
74,float16,6,6.465320526422151,10760.936505928756,124,130,0.9538461538461539,1.0,0.9763779527559054
75,float16,-8,6.3485375883516255,10273.766598928964,142,134,1.0597014925373134,1.0,1.0289855072463767
76,float16,13,6.526086277348263,10740.877406502615,126,139,0.9064748201438849,1.0,0.9509433962264151
77,float16,14,6.375874133922112,10308.434728848162,133,147,0.9047619047619048,1.0,0.9500000000000001
78,float16,16,6.448066694704519,10421.09657011288,136,152,0.8947368421052632,1.0,0.9444444444444444
79,float16,-33,6.4385908453834,10522.505635511576,151,118,1.2796610169491525,1.0,1.1226765799256506
80,float16,-18,6.321294748655096,10223.148545544187,142,124,1.1451612903225807,1.0,1.0676691729323307
81,float16,13,6.455024888456137,10466.520093221152,133,146,0.910958904109589,1.0,0.953405017921147
82,float16,16,6.221339339925867,9890.679741107346,124,140,0.8857142857142857,1.0,0.9393939393939393
83,float16,-2,6.132382506917083,9648.358179637486,134,132,1.0151515151515151,1.0,1.0075187969924813
84,float16,-6,6.384643670150967,10358.756051927825,130,124,1.0403225806451613,0.9923076923076923,1.0157480314960632
85,float16,25,6.407243017429555,10509.991448149869,142,167,0.8502994011976048,1.0,0.9190938511326862
86,float16,9,6.561773695749535,10815.011681218097,139,148,0.9391891891891891,1.0,0.9686411149825784
87,float16,-4,6.830124310588146,11683.3210398103,162,158,1.0253164556962024,1.0,1.0125
88,float16,-34,6.367536904088824,10418.78652908164,146,112,1.3035714285714286,1.0,1.1317829457364341
89,float16,-28,6.366516856554907,10325.366473083695,152,124,1.2258064516129032,1.0,1.101449275362319
