Tiempo (ms),Voltaje (mV)
0.0,-70.0
0.1,-69.99999900000003
0.2,-69.99999799000005
0.30000000000000004,-69.99999696990008
0.4,-69.99999593959912
0.5,-69.99999489899514
0.6000000000000001,-69.99999384798512
0.7,-69.999992786465
0.8,-69.99999171432968
0.9,-69.999990631473
1.0,-69.99998953778776
1.1,-69.99998843316567
1.2000000000000002,-69.99998731749734
1.3,-69.99998619067235
1.4,-69.9999850525791
1.5,-69.99998390310492
1.6,-69.99998274213601
1.7000000000000002,-69.99998156955739
1.8,-69.99998038525298
1.9,-69.99997918910555
2.0,-69.99997798099662
2.1,-69.99997676080662
2.2,-69.99997552841471
2.3,-69.99997428369888
2.4000000000000004,-69.99997302653588
2.5,-69.99997175680129
2.6,-69.99997047436933
2.7,-69.99996917911305
2.8,-69.9999678709042
2.9000000000000004,-69.99996654961328
3.0,-69.99996521510944
3.1,-69.99996386726056
3.2,-69.9999625059332
3.3,-69.99996113099256
3.4000000000000004,-69.99995974230251
3.5,-69.99995833972557
3.6,-69.99995692312285
3.7,-69.99995549235412
3.8,-69.99995404727768
3.9000000000000004,-69.99995258775049
4.0,-69.99995111362803
4.1000000000000005,-69.99994962476434
4.2,-69.99994812101201
4.3,-69.99994660222215
4.4,-69.9999450682444
4.5,-69.99994351892688
4.6,-69.99994195411618
4.7,-69.99994037365738
4.800000000000001,-69.99993877739398
4.8999999999999995,-69.99993716516795
5.0,-69.99993553681965
5.1000000000000005,-69.99993389218788
5.2,-69.99993223110978
5.3,-69.99993055342091
5.4,-69.99992885895514
5.5,-69.99992714754472
5.6,-69.99992541902022
5.7,-69.99992367321043
5.800000000000001,-69.99992190994257
5.8999999999999995,-69.99992012904202
6.0,-69.99991833033246
6.1000000000000005,-69.99991651363582
6.2,-69.99991467877221
6.3,-69.99991282555996
6.4,-69.99991095381559
6.5,-69.99990906335378
6.6,-69.99990715398735
6.7,-69.99990522552724
6.800000000000001,-69.99990327778255
6.9,-69.9999013105604
7.0,-69.99989932366603
7.1000000000000005,-69.99989731690272
7.2,-69.99989529007178
7.3,-69.99989324297252
7.4,-69.99989117540228
7.5,-69.99988908715633
7.6,-69.99988697802792
7.7,-69.99988484780822
7.800000000000001,-69.99988269628633
7.9,-69.99988052324922
8.0,-69.99987832848174
8.1,-69.99987611176658
8.200000000000001,-69.99987387288428
8.3,-69.99987161161316
8.4,-69.9998693277293
8.5,-69.99986702100664
8.6,-69.99986469121673
8.700000000000001,-69.99986233812892
8.8,-69.99985996151024
8.9,-69.99985756112538
9.0,-69.99985513673666
9.1,-69.99985268810406
9.2,-69.99985021498513
9.3,-69.99984771713501
