Tiempo (ms),Voltaje (mV)
0.0,-70.0
0.1,-69.999999
0.2,-69.99999799000001
0.30000000000000004,-69.9999969699
0.4,-69.999995939599
0.5,-69.999994898995
0.6000000000000001,-69.99999384798494
0.7,-69.99999278646479
0.8,-69.99999171432944
0.9,-69.99999063147273
1.0,-69.99998953778747
1.1,-69.99998843316533
1.2000000000000002,-69.99998731749699
1.3,-69.99998619067195
1.4,-69.99998505257867
1.5,-69.99998390310445
1.6,-69.99998274213549
1.7000000000000002,-69.99998156955685
1.8,-69.99998038525241
1.9,-69.99997918910495
2.0,-69.999977980996
2.1,-69.99997676080595
2.2,-69.99997552841401
2.3,-69.99997428369815
2.4000000000000004,-69.99997302653514
2.5,-69.99997175680049
2.6,-69.9999704743685
2.7,-69.99996917911217
2.8,-69.9999678709033
2.9000000000000004,-69.99996654961234
3.0,-69.99996521510846
3.1,-69.99996386725954
3.2,-69.99996250593215
3.3,-69.99996113099147
3.4000000000000004,-69.99995974230139
3.5,-69.9999583397244
3.6,-69.99995692312164
3.7,-69.99995549235287
3.8,-69.99995404727639
3.9000000000000004,-69.99995258774916
4.0,-69.99995111362665
4.1000000000000005,-69.99994962476292
4.2,-69.99994812101055
4.3,-69.99994660222066
4.4,-69.99994506824287
4.5,-69.99994351892529
4.6,-69.99994195411453
4.7,-69.99994037365568
4.800000000000001,-69.99993877739223
4.8999999999999995,-69.99993716516616
5.0,-69.99993553681782
5.1000000000000005,-69.999933892186
5.2,-69.99993223110785
5.3,-69.99993055341893
5.4,-69.99992885895313
5.5,-69.99992714754266
5.6,-69.99992541901808
5.7,-69.99992367320827
5.800000000000001,-69.99992190994035
5.8999999999999995,-69.99992012903975
6.0,-69.99991833033016
6.1000000000000005,-69.99991651363347
6.2,-69.9999146787698
6.3,-69.99991282555749
6.4,-69.99991095381307
6.5,-69.9999090633512
6.6,-69.99990715398471
6.7,-69.99990522552456
6.800000000000001,-69.9999032777798
6.9,-69.99990131055759
7.0,-69.99989932366317
7.1000000000000005,-69.9998973168998
7.2,-69.99989529006879
7.3,-69.99989324296948
7.4,-69.99989117539917
7.5,-69.99988908715316
7.6,-69.9998869780247
7.7,-69.99988484780495
7.800000000000001,-69.999882696283
7.9,-69.99988052324584
8.0,-69.99987832847829
8.1,-69.99987611176307
8.200000000000001,-69.9998738728807
8.3,-69.9998716116095
8.4,-69.9998693277256
8.5,-69.99986702100286
8.6,-69.99986469121289
8.700000000000001,-69.99986233812501
8.8,-69.99985996150626
8.9,-69.99985756112133
9.0,-69.99985513673253
9.1,-69.99985268809986
9.2,-69.99985021498087
9.3,-69.99984771713068
9.4,-69.99984519430198
9.5,-69.99984264624501
9.600000000000001,-69.99984007270746
9.7,-69.99983747343454
9.799999999999999,-69.99983484816887
9.9,-69.99983219665057
10.0,-69.99982951861708
10.100000000000001,-69.99982681380325
10.200000000000001,-69.99982408194127
10.3,-69.99982132276068
10.4,-69.99981853598828
10.5,-69.99981572134817
10.6,-69.99981287856164
10.700000000000001,-69.99981000734726
10.8,-69.99980710742075
10.9,-69.99980417849495
11.0,-69.9998012202799
11.1,-69.9997982324827
11.2,-69.99979521480752
11.3,-69.99979216695559
11.4,-69.99978908862515
11.5,-69.99978597951142
11.600000000000001,-69.99978283930652
11.7,-69.99977966769958
11.799999999999999,-69.99977646437658
11.9,-69.99977322902035
12.0,-69.99976996131055
12.100000000000001,-69.99976666092365
12.200000000000001,-69.99976332753289
12.3,-69.99975996080822
12.4,-69.9997565604163
12.5,-69.99975312602047
12.6,-69.99974965728067
12.700000000000001,-69.99974615385348
12.8,-69.99974261539202
12.9,-69.99973904154594
13.0,-69.9997354319614
13.1,-69.99973178628102
13.2,-69.99972810414383
13.3,-69.99972438518527
13.4,-69.99972062903713
13.5,-69.9997168353275
13.600000000000001,-69.99971300368078
13.7,-69.99970913371759
13.8,-69.99970522505475
13.9,-69.99970127730532
14.0,-69.99969729007836
14.100000000000001,-69.99969326297915
14.200000000000001,-69.99968919560895
14.3,-69.99968508756504
14.4,-69.99968093844069
14.5,-69.9996767478251
14.6,-69.99967251530336
