Tiempo (ms),Voltaje (mV)
0.0,-70.0
0.1,-69.99999899999992
0.2,-69.99999798999984
0.30000000000000004,-69.99999696989975
0.4,-69.99999593959868
0.5,-69.99999489899457
0.6000000000000001,-69.99999384798443
0.7,-69.99999278646419
0.8,-69.99999171432876
0.9,-69.99999063147197
1.0,-69.9999895377866
1.1,-69.99998843316439
1.2000000000000002,-69.99998731749596
1.3,-69.99998619067084
1.4,-69.99998505257747
1.5,-69.99998390310316
1.6,-69.99998274213411
1.7000000000000002,-69.99998156955536
1.8,-69.99998038525084
1.9,-69.99997918910326
2.0,-69.99997798099422
2.1,-69.99997676080407
2.2,-69.99997552841204
2.3,-69.99997428369608
2.4000000000000004,-69.99997302653294
2.5,-69.9999717567982
2.6,-69.9999704743661
2.7,-69.99996917910968
2.8,-69.99996787090069
2.9000000000000004,-69.99996654960961
3.0,-69.99996521510562
3.1,-69.9999638672566
3.2,-69.99996250592908
3.3,-69.99996113098828
3.4000000000000004,-69.99995974229809
3.5,-69.99995833972099
3.6,-69.9999569231181
3.7,-69.9999554923492
3.8,-69.99995404727262
3.9000000000000004,-69.99995258774526
4.0,-69.99995111362263
4.1000000000000005,-69.99994962475877
4.2,-69.99994812100628
4.3,-69.99994660221626
4.4,-69.99994506823833
4.5,-69.99994351892063
4.6,-69.99994195410976
4.7,-69.99994037365077
4.800000000000001,-69.99993877738719
4.8999999999999995,-69.99993716516097
5.0,-69.99993553681252
5.1000000000000005,-69.99993389218055
5.2,-69.99993223110228
5.3,-69.99993055341322
5.4,-69.99992885894726
5.5,-69.99992714753665
5.6,-69.99992541901194
5.7,-69.99992367320198
5.800000000000001,-69.99992190993392
5.8999999999999995,-69.99992012903317
6.0,-69.99991833032341
6.1000000000000005,-69.99991651362656
6.2,-69.99991467876275
6.3,-69.9999128255503
6.4,-69.99991095380571
6.5,-69.9999090633437
6.6,-69.99990715397703
6.7,-69.99990522551673
6.800000000000001,-69.99990327777182
6.9,-69.99990131054945
7.0,-69.99989932365486
7.1000000000000005,-69.99989731689132
7.2,-69.99989529006015
7.3,-69.99989324296067
7.4,-69.99989117539019
7.5,-69.99988908714401
7.6,-69.99988697801535
7.7,-69.99988484779543
7.800000000000001,-69.9998826962733
7.9,-69.99988052323596
8.0,-69.99987832846823
8.1,-69.99987611175283
8.200000000000001,-69.99987387287028
8.3,-69.9998716115989
8.4,-69.9998693277148
8.5,-69.99986702099187
8.6,-69.9998646912017
8.700000000000001,-69.99986233811363
8.8,-69.99985996149469
8.9,-69.99985756110955
9.0,-69.99985513672057
9.1,-69.99985268808769
9.2,-69.99985021496848
9.3,-69.99984771711807
9.4,-69.99984519428916
9.5,-69.99984264623198
9.600000000000001,-69.99984007269421
9.7,-69.99983747342107
9.799999999999999,-69.9998348481552
9.9,-69.99983219663667
10.0,-69.99982951860297
10.100000000000001,-69.99982681378891
10.200000000000001,-69.99982408192672
10.3,-69.9998213227459
10.4,-69.99981853597329
10.5,-69.99981572133294
10.6,-69.99981287854618
10.700000000000001,-69.99981000733155
10.8,-69.99980710740478
10.9,-69.99980417847874
11.0,-69.99980122026345
11.1,-69.99979823246599
11.2,-69.99979521479057
11.3,-69.99979216693838
11.4,-69.99978908860768
11.5,-69.99978597949368
11.600000000000001,-69.99978283928853
11.7,-69.99977966768132
11.799999999999999,-69.99977646435805
11.9,-69.99977322900155
12.0,-69.99976996129149
12.100000000000001,-69.99976666090433
12.200000000000001,-69.99976332751328
12.3,-69.99975996078832
12.4,-69.99975656039612
12.5,-69.99975312600002
12.6,-69.99974965725993
12.700000000000001,-69.99974615383245
12.8,-69.99974261537069
12.9,-69.99973904152432
13.0,-69.99973543193947
13.1,-69.99973178625879
13.2,-69.99972810412129
13.3,-69.99972438516242
13.4,-69.99972062901396
13.5,-69.99971683530403
13.600000000000001,-69.99971300365698
13.7,-69.99970913369347
13.8,-69.99970522503033
13.9,-69.99970127728054
14.0,-69.99969729005328
14.100000000000001,-69.99969326295371
14.200000000000001,-69.99968919558316
14.3,-69.99968508753891
14.4,-69.99968093841422
14.5,-69.99967674779828
14.6,-69.99967251527617
14.700000000000001,-69.99966824042886
14.8,-69.99966392283307
14.9,-69.99965956206131
15.0,-69.99965515768183
15.1,-69.99965070925856
15.2,-69.99964621635107
15.3,-69.9996416785145
15.4,-69.99963709529956
15.5,-69.99963246625248
15.600000000000001,-69.99962779091491
15.700000000000001,-69.99962306882396
15.8,-69.99961829951212
15.9,-69.99961348250716
16.0,-69.99960861733214
16.099999999999998,-69.99960370350539
16.2,-69.99959874054036
16.3,-69.9995937279457
16.400000000000002,-69.99958866522506
16.5,-69.99958355187722
16.6,-69.99957838739591
16.7,-69.99957317126979
16.8,-69.99956790298239
16.900000000000002,-69.99956258201213
17.0,-69.99955720783217
17.1,-69.9995517799104
17.2,-69.99954629770941
17.3,-69.99954076068643
17.400000000000002,-69.9995351682932
17.5,-69.99952951997606
17.6,-69.99952381517573
17.7,-69.9995180533274
17.8,-69.9995122338606
17.9,-69.99950635619912
18.0,-69.99950041976102
18.1,-69.99949442395854
18.2,-69.99948836819804
18.3,-69.99948225187994
18.4,-69.99947607439864
18.500000000000004,-69.99946983514255
18.6,-69.99946353349388
18.7,-69.99945716882874
18.8,-69.99945074051695
18.9,-69.99944424792203
19.0,-69.99943769040117
19.1,-69.9994310673051
19.200000000000003,-69.99942437797806
19.3,-69.99941762175774
19.4,-69.99941079797524
19.5,-69.9994039059549
19.599999999999998,-69.99939694501438
19.700000000000003,-69.99938991446444
19.8,-69.999382813609
19.900000000000002,-69.999375641745
20.0,-69.99936839816237
20.099999999999998,-69.9993610821439
20.200000000000003,-69.99935369296527
20.3,-69.99934622989484
20.400000000000002,-69.99933869219372
20.5,-69.99933107911558
20.6,-69.99932338990665
20.7,-69.99931562380564
20.8,-69.99930778004361
20.900000000000002,-69.99929985784397
21.0,-69.99929185642233
21.1,-69.99928377498647
21.2,-69.99927561273626
21.3,-69.99926736886353
21.400000000000002,-69.99925904255208
21.5,-69.99925063297752
21.6,-69.9992421393072
21.7,-69.9992335607002
21.8,-69.99922489630713
21.9,-69.99921614527011
22.0,-69.99920730672274
22.1,-69.99919837978987
22.2,-69.99918936358769
22.3,-69.99918025722349
22.4,-69.99917105979564
22.500000000000004,-69.99916177039351
22.6,-69.99915238809737
22.7,-69.99914291197825
22.8,-69.99913334109796
22.9,-69.99912367450887
23.0,-69.99911391125386
23.1,-69.99910405036631
23.200000000000003,-69.99909409086989
23.3,-69.99908403177851
23.4,-69.9990738720962
23.5,-69.99906361081709
23.599999999999998,-69.99905324692517
23.700000000000003,-69.99904277939434
23.8,-69.99903220718821
23.900000000000002,-69.99902152926002
24.0,-69.99901074455254
24.099999999999998,-69.99899985199798
24.200000000000003,-69.99898885051788
24.3,-69.99897773902298
24.400000000000002,-69.99896651641312
24.5,-69.99895518157717
24.6,-69.99894373339285
24.7,-69.99893217072669
24.8,-69.99892049243388
24.900000000000002,-69.99890869735813
25.0,-69.99889678433163
25.1,-69.99888475217486
25.2,-69.99887259969653
25.3,-69.99886032569341
25.400000000000002,-69.99884792895027
25.5,-69.99883540823969
25.6,-69.99882276232199
25.7,-69.99880998994513
25.8,-69.9987970898445
25.900000000000002,-69.99878406074288
26.0,-69.99877090135021
26.1,-69.99875761036364
26.2,-69.99874418646719
26.3,-69.99873062833178
26.4,-69.99871693461502
26.500000000000004,-69.99870310396108
26.6,-69.9986891350006
26.7,-69.99867502635053
26.8,-69.99866077661396
26.9,-69.99864638438001
27.0,-69.99863184822374
27.1,-69.99861716670588
27.200000000000003,-69.99860233837286
27.3,-69.9985873617565
27.4,-69.99857223537398
27.5,-69.99855695772764
27.6,-69.99854152730485
27.700000000000003,-69.99852594257781
27.8,-69.99851020200352
27.900000000000002,-69.99849430402347
28.0,-69.99847824706362
28.099999999999998,-69.99846202953418
28.200000000000003,-69.99844564982943
28.3,-69.99842910632763
28.400000000000002,-69.99841239739084
28.5,-69.99839552136466
28.6,-69.99837847657824
28.7,-69.99836126134394
28.8,-69.9983438739573
28.900000000000002,-69.99832631269679
29.0,-69.99830857582367
29.1,-69.99829066158183
29.2,-69.99827256819758
29.300000000000004,-69.99825429387947
29.400000000000002,-69.99823583681818
29.5,-69.99821719518629
29.6,-69.99819836713806
29.7,-69.99817935080937
29.8,-69.99816014431737
29.900000000000002,-69.99814074576045
30.0,-69.99812115321798
30.1,-69.99810136475007
30.2,-69.99808137839749
30.3,-69.99806119218138
30.4,-69.99804080410311
30.500000000000004,-69.99802021214406
30.6,-69.99799941426542
30.7,-69.99797840840799
30.8,-69.997957192492
30.9,-69.99793576441684
31.0,-69.9979141220609
31.1,-69.99789226328144
31.200000000000003,-69.99787018591418
31.3,-69.99784788777323
31.400000000000002,-69.99782536665087
31.5,-69.99780262031729
31.6,-69.99777964652039
31.7,-69.9977564429855
31.8,-69.99773300741526
31.900000000000006,-69.99770933748933
32.0,-69.99768543086414
32.1,-69.9976612851727
32.199999999999996,-69.99763689802434
32.300000000000004,-69.9976122670045
32.4,-69.99758738967446
32.5,-69.99756226357113
32.6,-69.99753688620675
32.699999999999996,-69.99751125506873
32.800000000000004,-69.99748536761933
32.9,-69.99745922129546
33.0,-69.99743281350833
33.1,-69.99740614164334
33.2,-69.99737920305968
33.300000000000004,-69.99735199509018
33.4,-69.99732451504102
33.5,-69.99729676019133
33.6,-69.99726872779317
33.7,-69.99724041507102
33.800000000000004,-69.99721181922165
33.9,-69.99718293741378
34.0,-69.99715376678785
34.099999999999994,-69.99712430445565
34.2,-69.99709454750013
34.300000000000004,-69.99706449297504
34.4,-69.99703413790472
34.5,-69.99700347928368
34.6,-69.99697251407643
34.7,-69.99694123921712
34.800000000000004,-69.9969096516092
34.9,-69.99687774812521
35.0,-69.99684552560637
35.1,-69.99681298086236
35.2,-69.9967801106709
35.300000000000004,-69.99674691177752
35.4,-69.99671338089522
35.5,-69.99667951470408
35.6,-69.99664530985105
35.7,-69.99661076294947
35.8,-69.99657587057888
35.9,-69.99654062928458
36.0,-69.99650503557734
36.1,-69.99646908593304
36.2,-69.99643277679229
36.3,-69.99639610456013
36.4,-69.99635906560565
36.50000000000001,-69.99632165626163
36.6,-69.99628387282416
36.7,-69.99624571155233
36.8,-69.99620716866777
36.9,-69.99616824035435
37.00000000000001,-69.99612892275782
37.1,-69.9960892119853
37.2,-69.99604910410508
37.3,-69.99600859514605
37.4,-69.99596768109744
37.5,-69.99592635790833
37.6,-69.99588462148732
37.7,-69.99584246770212
37.8,-69.99579989237905
37.900000000000006,-69.99575689130276
38.0,-69.9957134602157
38.1,-69.99566959481777
38.2,-69.99562529076587
38.3,-69.99558054367346
38.400000000000006,-69.99553534911011
38.5,-69.99548970260113
38.6,-69.99544359962707
38.7,-69.99539703562326
38.8,-69.9953500059794
38.900000000000006,-69.99530250603912
39.0,-69.99525453109943
39.1,-69.99520607641034
39.199999999999996,-69.99515713717436
39.300000000000004,-69.99510770854602
39.400000000000006,-69.99505778563139
39.5,-69.99500736348763
39.6,-69.99495643712241
39.699999999999996,-69.99490500149356
39.800000000000004,-69.99485305150841
39.900000000000006,-69.99480058202343
40.0,-69.99474758784358
40.1,-69.99469406372192
40.199999999999996,-69.99464000435907
40.300000000000004,-69.99458540440257
40.400000000000006,-69.99453025844653
40.5,-69.9944745610309
40.6,-69.99441830664114
40.699999999999996,-69.99436148970746
40.800000000000004,-69.99430410460445
40.9,-69.99424614565042
41.0,-69.99418760710684
41.1,-69.99412848317782
41.2,-69.99406876800951
41.300000000000004,-69.99400845568952
41.4,-69.99394754024634
41.5,-69.99388601564871
41.6,-69.99382387580512
41.7,-69.99376111456309
41.800000000000004,-69.99369772570863
41.9,-69.99363370296562
42.0,-69.99356903999521
42.1,-69.99350373039508
42.2,-69.99343776769894
42.300000000000004,-69.99337114537585
42.4,-69.99330385682953
42.5,-69.99323589539775
42.6,-69.99316725435163
42.7,-69.99309792689506
42.800000000000004,-69.99302790616393
42.9,-69.99295718522549
43.0,-69.99288575707767
43.1,-69.99281361464836
43.2,-69.99274075079475
43.300000000000004,-69.99266715830261
43.4,-69.99259282988555
43.5,-69.99251775818432
43.6,-69.9924419357661
43.7,-69.99236535512367
43.8,-69.99228800867482
43.9,-69.9922098887615
44.0,-69.99213098764903
44.1,-69.99205129752544
44.2,-69.9919708105006
44.3,-69.99188951860553
44.4,-69.9918074137915
44.50000000000001,-69.99172448792935
44.6,-69.99164073280856
44.7,-69.99155614013657
44.8,-69.99147070153784
44.9,-69.99138440855313
45.00000000000001,-69.99129725263859
45.1,-69.99120922516488
45.2,-69.99112031741646
45.3,-69.99103052059054
45.4,-69.99093982579636
45.5,-69.99084822405425
45.6,-69.9907557062947
45.7,-69.99066226335756
45.8,-69.99056788599106
45.900000000000006,-69.99047256485089
46.0,-69.99037629049931
46.1,-69.99027905340422
46.2,-69.99018084393818
46.3,-69.99008165237748
46.400000000000006,-69.98998146890118
46.5,-69.9898802835901
46.6,-69.98977808642593
46.7,-69.9896748672901
46.8,-69.98957061596292
46.900000000000006,-69.98946532212247
47.0,-69.9893589753436
47.1,-69.98925156509696
47.199999999999996,-69.98914308074785
47.300000000000004,-69.98903351155525
47.400000000000006,-69.98892284667072
47.5,-69.98881107513733
47.6,-69.98869818588862
47.699999999999996,-69.98858416774743
47.800000000000004,-69.98846900942482
47.900000000000006,-69.98835269951898
48.0,-69.98823522651409
48.1,-69.98811657877916
48.199999999999996,-69.98799674456686
48.300000000000004,-69.98787571201245
48.400000000000006,-69.9877534691325
48.5,-69.98763000382374
48.6,-69.9875053038619
48.699999999999996,-69.98737935690045
48.800000000000004,-69.98725215046936
48.9,-69.98712367197398
49.0,-69.98699390869363
49.1,-69.98686284778049
49.2,-69.9867304762582
49.300000000000004,-69.98659678102071
49.4,-69.98646174883083
49.5,-69.98632536631906
49.6,-69.98618761998216
49.7,-69.98604849618191
49.800000000000004,-69.98590798114365
49.9,-69.98576606095502
50.0,-69.98562272156447
50.1,-69.98547794878003
50.2,-69.98533172826775
50.300000000000004,-69.98518404555034
50.4,-69.98503488600576
50.5,-69.98488423486575
50.6,-69.98473207721432
50.7,-69.98457839798638
50.800000000000004,-69.98442318196616
50.9,-69.98426641378575
51.0,-69.98410807792352
51.1,-69.98394815870266
51.2,-69.98378664028961
51.300000000000004,-69.98362350669241
51.4,-69.98345874175926
51.5,-69.98329232917678
51.6,-69.98312425246846
51.7,-69.98295449499305
51.800000000000004,-69.9827830399429
51.9,-69.98260987034224
52.0,-69.98243496904558
52.1,-69.98225831873596
52.2,-69.98207990192323
52.3,-69.98189970094239
52.4,-69.98171769795172
52.50000000000001,-69.98153387493116
52.6,-69.98134821368038
52.7,-69.9811606958171
52.8,-69.98097130277519
52.9,-69.98078001580285
53.00000000000001,-69.98058681596079
53.1,-69.98039168412032
53.2,-69.98019460096144
53.3,-69.97999554697097
53.4,-69.9797945024406
53.50000000000001,-69.97959144746491
53.6,-69.97938636193948
53.7,-69.9791792255588
53.8,-69.9789700178143
53.900000000000006,-69.97875871799236
54.0,-69.97854530517219
54.1,-69.97832975822384
54.2,-69.978112055806
54.3,-69.97789217636397
54.400000000000006,-69.97767009812752
54.5,-69.97744579910872
54.6,-69.97721925709972
54.7,-69.97699044967064
54.8,-69.97675935416726
54.900000000000006,-69.97652594770885
55.0,-69.97629020718585
55.1,-69.97605210925764
55.2,-69.97581163035014
55.300000000000004,-69.97556874665355
55.400000000000006,-69.97532343412
55.5,-69.97507566846112
55.6,-69.97482542514564
55.699999999999996,-69.97457267939703
55.800000000000004,-69.9743174061909
55.900000000000006,-69.97405958025274
56.0,-69.97379917605518
56.1,-69.97353616781565
56.199999999999996,-69.97327052949373
56.300000000000004,-69.97300223478858
56.400000000000006,-69.97273125713639
56.5,-69.97245756970767
56.6,-69.97218114540466
56.699999999999996,-69.97190195685863
56.800000000000004,-69.97161997642715
56.900000000000006,-69.97133517619133
57.0,-69.97104752795316
57.1,-69.97075700323262
57.2,-69.97046357326487
57.300000000000004,-69.97016720899742
57.4,-69.96986788108732
57.5,-69.96956555989811
57.6,-69.96926021549702
57.7,-69.9689518176519
57.800000000000004,-69.96864033582834
57.9,-69.96832573918654
58.0,-69.96800799657834
58.1,-69.96768707654404
58.2,-69.96736294730938
58.300000000000004,-69.9670355767824
58.4,-69.96670493255014
58.5,-69.96637098187556
58.60000000000001,-69.96603369169422
58.7,-69.96569302861108
58.800000000000004,-69.96534895889711
58.9,-69.96500144848599
59.0,-69.96465046297078
59.1,-69.96429596760039
