neuron,label,output_spikes
0,float64,"<spikemonitor.count: array([31, 16, 23, 27, 28,  0, 27, 27, 23, 16, 24,  0, 11, 23, 15, 54, 35,
       23, 27, 31, 15, 15, 35, 24, 11, 34, 23, 24, 19, 31, 35, 19, 35, 11,
       15, 19, 31, 31, 35, 19, 27, 31, 39, 31, 35, 19, 11, 23, 38, 39],
      dtype=int32)>"
1,float64,"<spikemonitor.count: array([31, 16, 23, 27, 28,  0, 27, 27, 23, 16, 24,  0, 11, 23, 15, 54, 35,
       23, 27, 31, 15, 15, 35, 24, 11, 34, 23, 24, 19, 31, 35, 19, 35, 11,
       15, 19, 31, 31, 35, 19, 27, 31, 39, 31, 35, 19, 11, 23, 38, 39],
      dtype=int32)>"
2,float64,"<spikemonitor.count: array([31, 16, 23, 27, 28,  0, 27, 27, 23, 16, 24,  0, 11, 23, 15, 54, 35,
       23, 27, 31, 15, 15, 35, 24, 11, 34, 23, 24, 19, 31, 35, 19, 35, 11,
       15, 19, 31, 31, 35, 19, 27, 31, 39, 31, 35, 19, 11, 23, 38, 39],
      dtype=int32)>"
3,float64,"<spikemonitor.count: array([31, 16, 23, 27, 28,  0, 27, 27, 23, 16, 24,  0, 11, 23, 15, 54, 35,
       23, 27, 31, 15, 15, 35, 24, 11, 34, 23, 24, 19, 31, 35, 19, 35, 11,
       15, 19, 31, 31, 35, 19, 27, 31, 39, 31, 35, 19, 11, 23, 38, 39],
      dtype=int32)>"
4,float64,"<spikemonitor.count: array([31, 16, 23, 27, 28,  0, 27, 27, 23, 16, 24,  0, 11, 23, 15, 54, 35,
       23, 27, 31, 15, 15, 35, 24, 11, 34, 23, 24, 19, 31, 35, 19, 35, 11,
       15, 19, 31, 31, 35, 19, 27, 31, 39, 31, 35, 19, 11, 23, 38, 39],
      dtype=int32)>"
5,float64,"<spikemonitor.count: array([31, 16, 23, 27, 28,  0, 27, 27, 23, 16, 24,  0, 11, 23, 15, 54, 35,
       23, 27, 31, 15, 15, 35, 24, 11, 34, 23, 24, 19, 31, 35, 19, 35, 11,
       15, 19, 31, 31, 35, 19, 27, 31, 39, 31, 35, 19, 11, 23, 38, 39],
      dtype=int32)>"
6,float64,"<spikemonitor.count: array([31, 16, 23, 27, 28,  0, 27, 27, 23, 16, 24,  0, 11, 23, 15, 54, 35,
       23, 27, 31, 15, 15, 35, 24, 11, 34, 23, 24, 19, 31, 35, 19, 35, 11,
       15, 19, 31, 31, 35, 19, 27, 31, 39, 31, 35, 19, 11, 23, 38, 39],
      dtype=int32)>"
7,float64,"<spikemonitor.count: array([31, 16, 23, 27, 28,  0, 27, 27, 23, 16, 24,  0, 11, 23, 15, 54, 35,
       23, 27, 31, 15, 15, 35, 24, 11, 34, 23, 24, 19, 31, 35, 19, 35, 11,
       15, 19, 31, 31, 35, 19, 27, 31, 39, 31, 35, 19, 11, 23, 38, 39],
      dtype=int32)>"
8,float64,"<spikemonitor.count: array([31, 16, 23, 27, 28,  0, 27, 27, 23, 16, 24,  0, 11, 23, 15, 54, 35,
       23, 27, 31, 15, 15, 35, 24, 11, 34, 23, 24, 19, 31, 35, 19, 35, 11,
       15, 19, 31, 31, 35, 19, 27, 31, 39, 31, 35, 19, 11, 23, 38, 39],
      dtype=int32)>"
9,float64,"<spikemonitor.count: array([31, 16, 23, 27, 28,  0, 27, 27, 23, 16, 24,  0, 11, 23, 15, 54, 35,
       23, 27, 31, 15, 15, 35, 24, 11, 34, 23, 24, 19, 31, 35, 19, 35, 11,
       15, 19, 31, 31, 35, 19, 27, 31, 39, 31, 35, 19, 11, 23, 38, 39],
      dtype=int32)>"
10,float64,"<spikemonitor.count: array([31, 16, 23, 27, 28,  0, 27, 27, 23, 16, 24,  0, 11, 23, 15, 54, 35,
       23, 27, 31, 15, 15, 35, 24, 11, 34, 23, 24, 19, 31, 35, 19, 35, 11,
       15, 19, 31, 31, 35, 19, 27, 31, 39, 31, 35, 19, 11, 23, 38, 39],
      dtype=int32)>"
