neuron,label,total_spikes,mean_voltage,voltage_entropy
0,float16,135,-57.70404588715482,2.5249641547142088
1,float16,143,-57.67863372789605,2.5080439666401686
2,float16,145,-57.58653405601939,2.592974899191572
3,float16,140,-57.497986066529705,2.528413446863726
4,float16,147,-57.51641872814914,2.5206385503676896
5,float16,133,-57.604667238324204,2.542528174349922
6,float16,136,-57.66494404721864,2.491174249241661
7,float16,140,-57.61783080845179,2.540323809525789
8,float16,135,-57.564797482969325,2.5555703028934564
9,float16,140,-57.591131304627865,2.5433191105652897
10,float16,133,-57.63237158100339,2.5560963705065647
11,float16,163,-57.62355179158173,2.5342920070488413
12,float16,124,-57.607393478271575,2.544719082110834
13,float16,139,-57.64734614685852,2.5472820536091514
14,float16,138,-57.56148028592016,2.580948318197834
15,float16,134,-57.56909839584597,2.545634077945386
16,float16,132,-57.5004243434289,2.556290078566082
17,float16,137,-57.605508798126635,2.5043704077281443
18,float16,148,-57.59031665852987,2.5309619232333604
19,float16,132,-57.65524767686723,2.5418582821485494
20,float16,127,-57.600966240123775,2.553500826582068
21,float16,147,-57.63659162053029,2.5379948360029747
22,float16,137,-57.643184031600576,2.5340085601691826
23,float16,139,-57.53976813389076,2.544411812248149
24,float16,127,-57.59398858021809,2.5559061323421313
25,float16,151,-57.69090429132969,2.533822720048755
26,float16,140,-57.46687855344568,2.5086577118627007
27,float16,143,-57.6609755627168,2.5443295297663977
28,float16,130,-57.682672891567805,2.521390038865425
29,float16,127,-57.618717331216395,2.5536466926948203
30,float16,147,-57.51703416875111,2.5488148013467264
31,float16,138,-57.545758017885994,2.5518291331696
32,float16,129,-57.58720549755701,2.535528989948725
33,float16,133,-57.59267682517928,2.6047943874035706
34,float16,145,-57.544794260820034,2.5430765082940265
35,float16,156,-57.58136319755728,2.5843869213056956
36,float16,136,-57.62528490554972,2.5882538987095365
37,float16,140,-57.74210568348303,2.5324710120194425
38,float16,132,-57.595403772622305,2.553346039474508
39,float16,149,-57.565763068880656,2.5326935706252183
40,float16,142,-57.613652469952854,2.507570471555095
41,float16,143,-57.55367874126064,2.5063406783478084
42,float16,144,-57.512724397613475,2.530005740709262
43,float16,149,-57.508420286956856,2.5070700435906383
44,float16,130,-57.53355044514589,2.557143885720214
45,float16,126,-57.52858034602649,2.5533728729809546
46,float16,147,-57.61141432251227,2.57522715798165
47,float16,135,-57.64431089031865,2.5426708894306276
48,float16,141,-57.596708872340905,2.535440752802657
49,float16,143,-57.67453046618454,2.5375715330749027
50,float16,155,-57.61850676692216,2.5256555403227794
51,float16,130,-57.565230621551216,2.5395489643190077
52,float16,127,-57.59835799423651,2.5563871810954675
