I_nA,tau_ms,V_th_mV,g_leak_nS,n_spikes,t_first_ms
0.5,5,-55,0.5,2000,0.0
0.5,5,-55,1.0,1999,0.1
0.5,5,-55,2.0,1998,0.2
0.5,5,-55,5.0,665,0.7
0.5,5,-50,0.5,1999,0.1
0.5,5,-50,1.0,1999,0.1
0.5,5,-50,2.0,999,0.30000000000000004
0.5,5,-50,5.0,399,0.9
0.5,5,-45,0.5,1999,0.1
0.5,5,-45,1.0,999,0.2
0.5,5,-45,2.0,666,0.4
0.5,5,-45,5.0,285,1.1
0.5,5,-40,0.5,1999,0.1
0.5,5,-40,1.0,999,0.2
0.5,5,-40,2.0,499,0.5
0.5,5,-40,5.0,221,1.3
0.5,10,-55,0.5,1999,0.1
0.5,10,-55,1.0,1998,0.2
0.5,10,-55,2.0,998,0.5
0.5,10,-55,5.0,398,1.4
0.5,10,-50,0.5,1999,0.1
0.5,10,-50,1.0,999,0.30000000000000004
0.5,10,-50,2.0,499,0.7
0.5,10,-50,5.0,221,1.8
0.5,10,-45,0.5,999,0.2
0.5,10,-45,1.0,666,0.4
0.5,10,-45,2.0,332,0.9
0.5,10,-45,5.0,153,2.2
0.5,10,-40,0.5,999,0.2
0.5,10,-40,1.0,499,0.5
0.5,10,-40,2.0,249,1.1
0.5,10,-40,5.0,117,2.6
0.5,20,-55,0.5,1998,0.2
0.5,20,-55,1.0,998,0.5
0.5,20,-55,2.0,498,1.1
0.5,20,-55,5.0,220,2.8
0.5,20,-50,0.5,999,0.30000000000000004
0.5,20,-50,1.0,499,0.7
0.5,20,-50,2.0,249,1.5
0.5,20,-50,5.0,110,3.6
0.5,20,-45,0.5,666,0.4
0.5,20,-45,1.0,332,0.9
0.5,20,-45,2.0,166,1.9
0.5,20,-45,5.0,76,4.4
0.5,20,-40,0.5,499,0.5
0.5,20,-40,1.0,249,1.1
0.5,20,-40,2.0,132,2.2
0.5,20,-40,5.0,58,5.2
0.5,50,-55,0.5,665,0.7
0.5,50,-55,1.0,398,1.4
0.5,50,-55,2.0,198,2.9000000000000004
0.5,50,-55,5.0,84,6.9
0.5,50,-50,0.5,399,0.9
0.5,50,-50,1.0,199,1.9
0.5,50,-50,2.0,104,3.8
0.5,50,-50,5.0,44,9.1
0.5,50,-45,0.5,249,1.2000000000000002
0.5,50,-45,1.0,132,2.4000000000000004
0.5,50,-45,2.0,68,4.7
0.5,50,-45,5.0,30,11.1
0.5,50,-40,0.5,199,1.4
0.5,50,-40,1.0,99,2.9000000000000004
0.5,50,-40,2.0,52,5.6
0.5,50,-40,5.0,23,13.1
1.0,5,-55,0.5,2000,0.0
1.0,5,-55,1.0,2000,0.0
1.0,5,-55,2.0,1999,0.1
1.0,5,-55,5.0,999,0.30000000000000004
1.0,5,-50,0.5,2000,0.0
1.0,5,-50,1.0,1999,0.1
1.0,5,-50,2.0,1999,0.1
1.0,5,-50,5.0,666,0.4
1.0,5,-45,0.5,2000,0.0
1.0,5,-45,1.0,1999,0.1
1.0,5,-45,2.0,999,0.2
1.0,5,-45,5.0,499,0.5
1.0,5,-40,0.5,2000,0.0
1.0,5,-40,1.0,1999,0.1
1.0,5,-40,2.0,999,0.2
1.0,5,-40,5.0,399,0.7
1.0,10,-55,0.5,2000,0.0
1.0,10,-55,1.0,1999,0.1
1.0,10,-55,2.0,1998,0.2
1.0,10,-55,5.0,665,0.7
1.0,10,-50,0.5,1999,0.1
1.0,10,-50,1.0,1999,0.1
1.0,10,-50,2.0,999,0.30000000000000004
1.0,10,-50,5.0,399,0.9
1.0,10,-45,0.5,1999,0.1
1.0,10,-45,1.0,999,0.2
1.0,10,-45,2.0,666,0.4
1.0,10,-45,5.0,285,1.1
1.0,10,-40,0.5,1999,0.1
1.0,10,-40,1.0,999,0.2
1.0,10,-40,2.0,499,0.5
1.0,10,-40,5.0,199,1.4
1.0,20,-55,0.5,1999,0.1
1.0,20,-55,1.0,1998,0.2
1.0,20,-55,2.0,998,0.5
1.0,20,-55,5.0,398,1.4
1.0,20,-50,0.5,1999,0.1
1.0,20,-50,1.0,999,0.30000000000000004
1.0,20,-50,2.0,499,0.7
1.0,20,-50,5.0,199,1.9
1.0,20,-45,0.5,999,0.2
1.0,20,-45,1.0,666,0.4
1.0,20,-45,2.0,332,0.9
1.0,20,-45,5.0,142,2.3
1.0,20,-40,0.5,999,0.2
1.0,20,-40,1.0,499,0.5
1.0,20,-40,2.0,249,1.1
1.0,20,-40,5.0,104,2.8
1.0,50,-55,0.5,999,0.30000000000000004
1.0,50,-55,1.0,665,0.7
1.0,50,-55,2.0,398,1.4
1.0,50,-55,5.0,164,3.6
1.0,50,-50,0.5,666,0.4
1.0,50,-50,1.0,399,0.9
1.0,50,-50,2.0,199,1.9
1.0,50,-50,5.0,82,4.7
1.0,50,-45,0.5,499,0.6000000000000001
1.0,50,-45,1.0,249,1.2000000000000002
1.0,50,-45,2.0,132,2.4000000000000004
1.0,50,-45,5.0,56,5.800000000000001
1.0,50,-40,0.5,399,0.7
1.0,50,-40,1.0,199,1.4
1.0,50,-40,2.0,99,2.9000000000000004
1.0,50,-40,5.0,42,6.9
1.5,5,-55,0.5,2000,0.0
1.5,5,-55,1.0,2000,0.0
1.5,5,-55,2.0,1999,0.1
1.5,5,-55,5.0,1998,0.2
1.5,5,-50,0.5,2000,0.0
1.5,5,-50,1.0,2000,0.0
1.5,5,-50,2.0,1999,0.1
1.5,5,-50,5.0,999,0.30000000000000004
1.5,5,-45,0.5,2000,0.0
1.5,5,-45,1.0,2000,0.0
1.5,5,-45,2.0,1999,0.1
1.5,5,-45,5.0,666,0.4
1.5,5,-40,0.5,2000,0.0
1.5,5,-40,1.0,1999,0.1
1.5,5,-40,2.0,1000,0.1
1.5,5,-40,5.0,499,0.4
1.5,10,-55,0.5,2000,0.0
1.5,10,-55,1.0,1999,0.1
1.5,10,-55,2.0,1999,0.1
1.5,10,-55,5.0,998,0.4
1.5,10,-50,0.5,2000,0.0
1.5,10,-50,1.0,1999,0.1
1.5,10,-50,2.0,999,0.2
1.5,10,-50,5.0,499,0.6000000000000001
1.5,10,-45,0.5,2000,0.0
1.5,10,-45,1.0,1999,0.1
1.5,10,-45,2.0,999,0.30000000000000004
1.5,10,-45,5.0,399,0.8
1.5,10,-40,0.5,1999,0.1
1.5,10,-40,1.0,1000,0.1
