neuron,label,pulse_spikes,total_spikes
0,float16,6,6
1,float16,6,6
2,float16,6,6
3,float16,6,6
4,float16,6,6
5,float16,6,6
6,float16,6,6
7,float16,6,6
8,float16,6,6
9,float16,6,6
10,float16,6,6
11,float16,6,6
12,float16,6,6
13,float16,6,6
14,float16,6,6
15,float16,6,6
16,float16,6,6
17,float16,6,6
18,float16,6,6
19,float16,6,6
20,float16,6,6
21,float16,6,6
22,float16,6,6
23,float16,6,6
24,float16,6,6
25,float16,6,6
26,float16,6,6
27,float16,6,6
28,float16,6,6
29,float16,6,6
30,float16,6,6
31,float16,6,6
32,float16,6,6
33,float16,6,6
34,float16,6,6
35,float16,6,6
36,float16,6,6
37,float16,6,6
38,float16,6,6
39,float16,6,6
40,float16,6,6
41,float16,6,6
42,float16,6,6
43,float16,6,6
44,float16,6,6
45,float16,6,6
46,float16,6,6
47,float16,6,6
48,float16,6,6
49,float16,6,6
0,posit16,6,6
1,posit16,6,6
2,posit16,6,6
3,posit16,6,6
4,posit16,6,6
5,posit16,6,6
6,posit16,6,6
7,posit16,6,6
8,posit16,6,6
9,posit16,6,6
10,posit16,6,6
11,posit16,6,6
12,posit16,6,6
13,posit16,6,6
14,posit16,6,6
15,posit16,6,6
16,posit16,6,6
17,posit16,6,6
18,posit16,6,6
19,posit16,6,6
20,posit16,6,6
21,posit16,6,6
22,posit16,6,6
23,posit16,6,6
24,posit16,6,6
25,posit16,6,6
26,posit16,6,6
27,posit16,6,6
28,posit16,6,6
29,posit16,6,6
30,posit16,6,6
31,posit16,6,6
32,posit16,6,6
33,posit16,6,6
34,posit16,6,6
35,posit16,6,6
36,posit16,6,6
37,posit16,6,6
38,posit16,6,6
39,posit16,6,6
40,posit16,6,6
41,posit16,6,6
42,posit16,6,6
43,posit16,6,6
44,posit16,6,6
45,posit16,6,6
46,posit16,6,6
47,posit16,6,6
48,posit16,6,6
49,posit16,6,6
