neuron,label,pulse_spikes,total_spikes
0,float16,7,56
1,float16,7,51
2,float16,7,55
3,float16,6,52
4,float16,7,50
5,float16,6,47
6,float16,6,45
7,float16,7,56
8,float16,6,47
9,float16,7,58
10,float16,7,52
11,float16,7,51
12,float16,7,56
13,float16,6,49
14,float16,7,52
15,float16,6,52
16,float16,7,52
17,float16,7,61
18,float16,7,52
19,float16,6,56
20,float16,6,54
21,float16,7,54
22,float16,6,53
23,float16,7,54
24,float16,5,50
25,float16,7,54
26,float16,7,54
27,float16,6,53
28,float16,8,56
29,float16,8,58
30,float16,7,53
31,float16,6,54
32,float16,7,53
33,float16,7,50
34,float16,8,50
35,float16,8,57
36,float16,7,62
37,float16,7,57
38,float16,7,50
39,float16,7,52
40,float16,7,53
41,float16,7,57
42,float16,7,55
43,float16,6,55
44,float16,7,61
45,float16,6,50
46,float16,8,51
47,float16,6,53
48,float16,6,54
49,float16,6,57
0,posit16,6,51
1,posit16,7,56
2,posit16,6,45
3,posit16,7,52
4,posit16,7,60
5,posit16,7,55
6,posit16,6,47
7,posit16,7,62
8,posit16,7,51
9,posit16,6,49
10,posit16,8,61
11,posit16,7,58
12,posit16,6,50
13,posit16,7,55
14,posit16,6,48
15,posit16,6,51
16,posit16,7,53
17,posit16,7,53
18,posit16,7,58
19,posit16,7,54
20,posit16,7,60
21,posit16,7,55
22,posit16,8,57
23,posit16,7,59
24,posit16,6,47
25,posit16,7,62
26,posit16,8,61
27,posit16,6,56
28,posit16,7,53
29,posit16,7,54
30,posit16,8,56
31,posit16,7,50
32,posit16,7,54
33,posit16,6,44
34,posit16,7,52
35,posit16,6,54
36,posit16,7,53
37,posit16,7,57
38,posit16,6,49
39,posit16,7,56
40,posit16,8,57
41,posit16,7,58
42,posit16,7,61
43,posit16,7,57
44,posit16,6,53
45,posit16,7,61
46,posit16,7,58
47,posit16,7,54
48,posit16,8,56
49,posit16,6,52
