dtype,I,t,rmse
float32,0.2,0.0,0.0
float32,0.2,0.1,2.9802322387695312e-08
float32,0.2,0.2,5.990267482047784e-08
float32,0.2,0.30000000000000004,9.030402736698306e-08
float32,0.2,0.4,1.210093927284106e-07
float32,0.2,0.5,1.5202180492224215e-07
float32,0.2,0.6000000000000001,1.8334434770395092e-07
float32,0.2,0.7,2.149801048290101e-07
float32,0.2,0.8,2.469322382125938e-07
float32,0.2,0.9,2.7920388134816676e-07
float32,0.2,1.0,0.0
float32,0.2,1.1,2.980232949312267e-08
float32,0.2,1.2000000000000002,5.990267482047784e-08
float32,0.2,1.3,9.03040202615557e-08
float32,0.2,1.4,1.2100938562298325e-07
float32,0.2,1.5,0.0
float32,0.2,1.6,2.980232949312267e-08
float32,0.2,1.7000000000000002,5.990267482047784e-08
float32,0.2,1.8,9.03040202615557e-08
float32,0.2,1.9,1.2100938562298325e-07
float32,0.2,2.0,0.0
float32,0.2,2.1,2.980232949312267e-08
float32,0.2,2.2,5.990267482047784e-08
float32,0.2,2.3,9.03040202615557e-08
float32,0.2,2.4000000000000004,1.2100938562298325e-07
float32,0.2,2.5,0.0
float32,0.2,2.6,2.980232949312267e-08
float32,0.2,2.7,5.990267482047784e-08
float32,0.2,2.8,9.03040202615557e-08
float32,0.2,2.9000000000000004,1.2100938562298325e-07
float32,0.2,3.0,0.0
float32,0.2,3.1,2.980232949312267e-08
float32,0.2,3.2,5.990267482047784e-08
float32,0.2,3.3,9.03040202615557e-08
float32,0.2,3.4000000000000004,1.2100938562298325e-07
float32,0.2,3.5,0.0
float32,0.2,3.6,2.980232949312267e-08
float32,0.2,3.7,5.990267482047784e-08
float32,0.2,3.8,9.03040202615557e-08
float32,0.2,3.9000000000000004,1.2100938562298325e-07
float32,0.2,4.0,0.0
float32,0.2,4.1000000000000005,2.980232949312267e-08
float32,0.2,4.2,5.990267482047784e-08
float32,0.2,4.3,9.03040202615557e-08
float32,0.2,4.4,1.2100938562298325e-07
float32,0.2,4.5,0.0
float32,0.2,4.6,2.980232949312267e-08
float32,0.2,4.7,5.990267482047784e-08
float32,0.2,4.800000000000001,9.03040202615557e-08
float32,0.2,4.8999999999999995,1.2100938562298325e-07
float32,0.2,5.0,0.0
float32,0.2,5.1000000000000005,2.980232949312267e-08
float32,0.2,5.2,5.990267482047784e-08
float32,0.2,5.3,9.03040202615557e-08
float32,0.2,5.4,1.2100938562298325e-07
float32,0.2,5.5,0.0
float32,0.2,5.6,2.980232949312267e-08
float32,0.2,5.7,5.990267482047784e-08
float32,0.2,5.800000000000001,9.03040202615557e-08
float32,0.2,5.8999999999999995,1.2100938562298325e-07
float32,0.2,6.0,0.0
float32,0.2,6.1000000000000005,2.980232949312267e-08
float32,0.2,6.2,5.990267482047784e-08
