I,type,rmse_spike,total_spikes,firing_rate,sparsity
-4.0,float64,0.0,0,0.0,1.0
-4.0,float32,0.0,0,0.0,1.0
-4.0,float16,0.0,0,0.0,1.0
-4.0,posit16,0.0,0,0.0,1.0
-4.0,posit20,0.0,0,0.0,1.0
-4.0,posit24,0.0,0,0.0,1.0
-4.0,posit32,0.0,0,0.0,1.0
-3.991991991991992,float64,0.0,0,0.0,1.0
-3.991991991991992,float32,0.0,0,0.0,1.0
-3.991991991991992,float16,0.0,0,0.0,1.0
-3.991991991991992,posit16,0.0,0,0.0,1.0
-3.991991991991992,posit20,0.0,0,0.0,1.0
-3.991991991991992,posit24,0.0,0,0.0,1.0
-3.991991991991992,posit32,0.0,0,0.0,1.0
-3.983983983983984,float64,0.0,0,0.0,1.0
-3.983983983983984,float32,0.0,0,0.0,1.0
-3.983983983983984,float16,0.0,0,0.0,1.0
-3.983983983983984,posit16,0.0,0,0.0,1.0
-3.983983983983984,posit20,0.0,0,0.0,1.0
-3.983983983983984,posit24,0.0,0,0.0,1.0
-3.983983983983984,posit32,0.0,0,0.0,1.0
-3.975975975975976,float64,0.0,0,0.0,1.0
-3.975975975975976,float32,0.0,0,0.0,1.0
-3.975975975975976,float16,0.0,0,0.0,1.0
-3.975975975975976,posit16,0.0,0,0.0,1.0
-3.975975975975976,posit20,0.0,0,0.0,1.0
-3.975975975975976,posit24,0.0,0,0.0,1.0
-3.975975975975976,posit32,0.0,0,0.0,1.0
-3.967967967967968,float64,0.0,0,0.0,1.0
-3.967967967967968,float32,0.0,0,0.0,1.0
-3.967967967967968,float16,0.0,0,0.0,1.0
-3.967967967967968,posit16,0.0,0,0.0,1.0
-3.967967967967968,posit20,0.0,0,0.0,1.0
-3.967967967967968,posit24,0.0,0,0.0,1.0
-3.967967967967968,posit32,0.0,0,0.0,1.0
-3.95995995995996,float64,0.0,0,0.0,1.0
-3.95995995995996,float32,0.0,0,0.0,1.0
-3.95995995995996,float16,0.0,0,0.0,1.0
-3.95995995995996,posit16,0.0,0,0.0,1.0
-3.95995995995996,posit20,0.0,0,0.0,1.0
-3.95995995995996,posit24,0.0,0,0.0,1.0
-3.95995995995996,posit32,0.0,0,0.0,1.0
-3.951951951951952,float64,0.0,0,0.0,1.0
-3.951951951951952,float32,0.0,0,0.0,1.0
-3.951951951951952,float16,0.0,0,0.0,1.0
-3.951951951951952,posit16,0.0,0,0.0,1.0
-3.951951951951952,posit20,0.0,0,0.0,1.0
-3.951951951951952,posit24,0.0,0,0.0,1.0
-3.951951951951952,posit32,0.0,0,0.0,1.0
-3.943943943943944,float64,0.0,0,0.0,1.0
-3.943943943943944,float32,0.0,0,0.0,1.0
-3.943943943943944,float16,0.0,0,0.0,1.0
