pair,fmt,I,pearson,spike_rmse,spec_entropy
16bits,float16,-2.0,1.0,0.0,2.4092320895202457
16bits,posit16,-2.0,1.0,0.0,2.4092320895202457
16bits,float16,-1.9899749373433584,1.0,0.0,2.4092320895202475
16bits,posit16,-1.9899749373433584,1.0,0.0,2.4092320895202493
16bits,float16,-1.9799498746867168,1.0,0.0,2.4092320895202515
16bits,posit16,-1.9799498746867168,1.0,0.0,2.409232089520248
16bits,float16,-1.9699248120300752,1.0,0.0,2.409232089520251
16bits,posit16,-1.9699248120300752,1.0,0.0,2.409232089520251
16bits,float16,-1.9598997493734336,1.0,0.0,2.4092320895202475
16bits,posit16,-1.9598997493734336,1.0,0.0,2.4092320895202475
16bits,float16,-1.949874686716792,1.0,0.0,2.4092320895202506
16bits,posit16,-1.949874686716792,1.0,0.0,2.4092320895202475
16bits,float16,-1.9398496240601504,1.0,0.0,2.4092320895202493
16bits,posit16,-1.9398496240601504,0.9999999999999994,0.0,2.409232089520246
16bits,float16,-1.9298245614035088,0.9999999999999994,0.0,2.409232089520251
16bits,posit16,-1.9298245614035088,0.9999999999999994,0.0,2.409232089520251
16bits,float16,-1.9197994987468672,1.0,0.0,2.4092320895202475
16bits,posit16,-1.9197994987468672,1.0,0.0,2.4092320895202475
16bits,float16,-1.9097744360902256,1.0,0.0,2.4092320895202475
16bits,posit16,-1.9097744360902256,0.9999999999999999,0.0,2.4092320895202475
16bits,float16,-1.899749373433584,1.0,0.0,2.409232089520249
16bits,posit16,-1.899749373433584,0.9999999999999996,0.0,2.4092320895202484
16bits,float16,-1.8897243107769424,1.0,0.0,2.4092320895202457
16bits,posit16,-1.8897243107769424,1.0,0.0,2.4092320895202457
16bits,float16,-1.8796992481203008,0.9999999999999998,0.0,2.4092320895202506
16bits,posit16,-1.8796992481203008,0.9999999999999998,0.0,2.4092320895202506
16bits,float16,-1.8696741854636592,1.0,0.0,2.409232089520249
16bits,posit16,-1.8696741854636592,0.9999999999999999,0.0,2.4092320895202484
16bits,float16,-1.8596491228070176,1.0,0.0,2.4092320895202493
16bits,posit16,-1.8596491228070176,0.9999999999999996,0.0,2.4092320895202506
16bits,float16,-1.849624060150376,0.9999999999999997,0.0,2.4092320895202484
16bits,posit16,-1.849624060150376,0.9999999999999997,0.0,2.4092320895202484
16bits,float16,-1.8395989974937343,1.0,0.0,2.4092320895202484
16bits,posit16,-1.8395989974937343,1.0,0.0,2.4092320895202493
16bits,float16,-1.8295739348370927,1.0,0.0,2.409232089520249
16bits,posit16,-1.8295739348370927,0.9999999999999992,0.0,2.409232089520246
16bits,float16,-1.8195488721804511,0.9999999999999998,0.0,2.409232089520246
16bits,posit16,-1.8195488721804511,0.9999999999999998,0.0,2.409232089520246
16bits,float16,-1.8095238095238095,0.9999999999999993,0.0,2.409232089520246
16bits,posit16,-1.8095238095238095,0.9999999999999993,0.0,2.409232089520246
16bits,float16,-1.799498746867168,0.9999999999999992,0.0,2.4092320895202493
16bits,posit16,-1.799498746867168,0.9999999999999999,0.0,2.409232089520248
16bits,float16,-1.7894736842105263,1.0,0.0,2.409232089520251
16bits,posit16,-1.7894736842105263,1.0,0.0,2.409232089520251
16bits,float16,-1.7794486215538847,1.0,0.0,2.4092320895202457
16bits,posit16,-1.7794486215538847,1.0,0.0,2.4092320895202457
16bits,float16,-1.7694235588972431,0.9999999999999997,0.0,2.4092320895202506
16bits,posit16,-1.7694235588972431,0.9999999999999997,0.0,2.4092320895202506
16bits,float16,-1.7593984962406015,1.0,0.0,2.4092320895202493
16bits,posit16,-1.7593984962406015,1.0,0.0,2.409232089520251
16bits,float16,-1.74937343358396,1.0,0.0,2.4092320895202475
16bits,posit16,-1.74937343358396,1.0,0.0,2.409232089520249
16bits,float16,-1.7393483709273183,0.9999999999999992,0.0,2.409232089520251
