pair,fmt,I,rmse,rate_Hz
16bits,float16,-2.0,0.0,0.0
16bits,posit16,-2.0,0.0,0.0
16bits,float16,-1.9899749373433584,1.0466919769653956e+20,0.0
16bits,posit16,-1.9899749373433584,9.232613193585836e+19,0.0
16bits,float16,-1.9799498746867168,1.8465226386730254e+20,0.0
16bits,posit16,-1.9799498746867168,1.2343065766900275e+19,0.0
16bits,float16,-1.9699248120300752,7.998306616809267e+19,0.0
16bits,posit16,-1.9699248120300752,7.998306616809267e+19,0.0
16bits,float16,-1.9598997493734336,2.468613153420121e+19,0.0
16bits,posit16,-1.9598997493734336,2.468613153420121e+19,0.0
16bits,float16,-1.949874686716792,1.2935532922938563e+20,0.0
16bits,posit16,-1.949874686716792,6.764000040440059e+19,0.0
16bits,float16,-1.9398496240601504,1.599661323368085e+20,0.0
16bits,posit16,-1.9398496240601504,3.702919730066139e+19,0.0
16bits,float16,-1.9298245614035088,5.529693463424862e+19,0.0
16bits,posit16,-1.9298245614035088,5.529693463424862e+19,0.0
16bits,float16,-1.9197994987468672,4.93722630746595e+19,0.0
16bits,posit16,-1.9197994987468672,4.93722630746595e+19,0.0
16bits,float16,-1.9097744360902256,1.540414607712181e+20,0.0
16bits,posit16,-1.9097744360902256,4.295386886015206e+19,0.0
16bits,float16,-1.899749373433584,1.3528000080331086e+20,0.0
16bits,posit16,-1.899749373433584,6.171532883117563e+19,0.0
16bits,float16,-1.8897243107769424,3.061080310148637e+19,0.0
16bits,posit16,-1.8897243107769424,3.061080310148637e+19,0.0
16bits,float16,-1.8796992481203008,7.405839460040983e+19,0.0
16bits,posit16,-1.8796992481203008,7.405839460040983e+19,0.0
16bits,float16,-1.8696741854636592,1.787275923033777e+20,0.0
16bits,posit16,-1.8696741854636592,1.8267737330883109e+19,0.0
16bits,float16,-1.8596491228070176,1.1059386926323771e+20,0.0
16bits,posit16,-1.8596491228070176,8.640146036567492e+19,0.0
16bits,float16,-1.849624060150376,5.924671563523804e+18,0.0
16bits,posit16,-1.849624060150376,5.924671563523804e+18,0.0
16bits,float16,-1.8395989974937343,9.874452612773164e+19,0.0
16bits,posit16,-1.8395989974937343,9.825080350722063e+19,0.0
16bits,float16,-1.8295739348370927,1.905769354399966e+20,0.0
16bits,posit16,-1.8295739348370927,6.418394202562679e+18,0.0
16bits,float16,-1.8195488721804511,8.590773773620568e+19,0.0
16bits,posit16,-1.8195488721804511,8.590773773620568e+19,0.0
16bits,float16,-1.8095238095238095,1.8761459963745194e+19,0.0
16bits,posit16,-1.8095238095238095,1.8761459963745194e+19,0.0
16bits,float16,-1.799498746867168,1.2343065766267408e+20,0.0
16bits,posit16,-1.799498746867168,7.3564671969849614e+19,0.0
16bits,float16,-1.7894736842105263,1.65890803909639e+20,0.0
16bits,posit16,-1.7894736842105263,3.1104525724471116e+19,0.0
16bits,float16,-1.7794486215538847,6.122160620105804e+19,0.0
16bits,posit16,-1.7794486215538847,6.122160620105804e+19,0.0
16bits,float16,-1.7694235588972431,4.34475915051251e+19,0.0
16bits,posit16,-1.7694235588972431,4.34475915051251e+19,0.0
16bits,float16,-1.7593984962406015,1.4811678920483475e+20,0.0
16bits,posit16,-1.7593984962406015,4.887854043258613e+19,0.0
16bits,float16,-1.74937343358396,1.4120467237123408e+20,0.0
16bits,posit16,-1.74937343358396,5.579065726319464e+19,0.0
16bits,float16,-1.7393483709273183,3.6535474671327334e+19,0.0
16bits,posit16,-1.7393483709273183,3.6535474671327334e+19,0.0
16bits,float16,-1.7293233082706767,6.813372302998803e+19,0.0
16bits,posit16,-1.7293233082706767,6.813372302998803e+19,0.0
16bits,float16,-1.719298245614035,1.7280292072777653e+20,0.0
16bits,posit16,-1.719298245614035,2.4192408900402946e+19,0.0
16bits,float16,-1.7092731829573935,1.165185408373405e+20,0.0
16bits,posit16,-1.7092731829573935,8.047678879663296e+19,0.0
16bits,float16,-1.699248120300752,1.1849343133893044e+19,0.0
16bits,posit16,-1.699248120300752,1.1849343133893044e+19,0.0
16bits,float16,-1.6892230576441103,9.281985456334447e+19,0.0
16bits,posit16,-1.6892230576441103,9.281985456334447e+19,0.0
16bits,float16,-1.6791979949874687,1.965016070041139e+20,0.0
16bits,posit16,-1.6791979949874687,4.9372263316577504e+17,0.0
16bits,float16,-1.669172932330827,9.183240930038125e+19,0.0
16bits,posit16,-1.669172932330827,9.183240930038125e+19,0.0
16bits,float16,-1.6591478696741855,1.2836788396992565e+19,0.0
16bits,posit16,-1.6591478696741855,1.2836788396992565e+19,0.0
16bits,float16,-1.6491228070175439,1.1750598609980937e+20,0.0
16bits,posit16,-1.6491228070175439,7.948934353737199e+19,0.0
16bits,float16,-1.6390977443609023,1.718154754700782e+20,0.0
16bits,posit16,-1.6390977443609023,2.5179854162311496e+19,0.0
16bits,float16,-1.6290726817042607,6.714627776909749e+19,0.0
16bits,posit16,-1.6290726817042607,6.714627776909749e+19,0.0
16bits,float16,-1.619047619047619,3.752291993137902e+19,0.0
16bits,posit16,-1.619047619047619,3.752291993137902e+19,0.0
16bits,float16,-1.6090225563909775,1.4219211762861497e+20,0.0
16bits,posit16,-1.6090225563909775,5.4803212003107684e+19,0.0
16bits,float16,-1.5989974937343359,1.4712934393837604e+20,0.0
16bits,posit16,-1.5989974937343359,4.9865985700440924e+19,0.0
16bits,float16,-1.5889724310776943,4.246014623972412e+19,0.0
16bits,posit16,-1.5889724310776943,4.246014623972412e+19,0.0
16bits,float16,-1.5789473684210527,6.220905146088199e+19,0.0
16bits,posit16,-1.5789473684210527,6.220905146088199e+19,0.0
16bits,float16,-1.568922305764411,1.668782491666343e+20,0.0
16bits,posit16,-1.568922305764411,3.0117080468058063e+19,0.0
16bits,float16,-1.5588972431077694,1.224432124045339e+20,0.0
16bits,posit16,-1.5588972431077694,7.455211722983245e+19,0.0
16bits,float16,-1.5488721804511278,1.777401470610415e+19,0.0
16bits,posit16,-1.5488721804511278,1.777401470610415e+19,0.0
16bits,float16,-1.5388471177944862,8.68951829978209e+19,0.0
16bits,posit16,-1.5388471177944862,8.68951829978209e+19,0.0
16bits,float16,-1.5288220551378446,1.9156438069394388e+20,0.0
16bits,posit16,-1.5288220551378446,5.430948940049488e+18,0.0
16bits,float16,-1.518796992481203,9.775708086664685e+19,0.0
16bits,posit16,-1.518796992481203,9.775708086664685e+19,0.0
16bits,float16,-1.5087719298245614,6.912116829371963e+18,0.0
16bits,posit16,-1.5087719298245614,6.912116829371963e+18,0.0
16bits,float16,-1.4987468671679198,1.1158131452763143e+20,0.0
16bits,posit16,-1.4987468671679198,8.54140151082429e+19,0.0
16bits,float16,-1.4887218045112782,1.777401470372756e+20,0.0
16bits,posit16,-1.4887218045112782,1.9255182593760047e+19,0.0
16bits,float16,-1.4786967418546366,7.307094934206165e+19,0.0
16bits,posit16,-1.4786967418546366,7.307094934206165e+19,0.0
16bits,float16,-1.468671679197995,3.1598248367399506e+19,0.0
16bits,posit16,-1.468671679197995,3.1598248367399506e+19,0.0
16bits,float16,-1.4586466165413534,1.3626744606694061e+20,0.0
16bits,posit16,-1.4586466165413534,6.07278835706466e+19,0.0
16bits,float16,-1.4486215538847118,1.5305401550901012e+20,0.0
16bits,posit16,-1.4486215538847118,4.3941314126722335e+19,0.0
16bits,float16,-1.4385964912280702,4.8384817809573134e+19,0.0
16bits,posit16,-1.4385964912280702,4.8384817809573134e+19,0.0
16bits,float16,-1.4285714285714286,5.628437989738998e+19,0.0
16bits,posit16,-1.4285714285714286,5.628437989738998e+19,0.0
16bits,float16,-1.418546365914787,1.609535775982494e+20,0.0
16bits,posit16,-1.418546365914787,3.6041752041799107e+19,0.0
16bits,float16,-1.4085213032581454,1.2836788397315205e+20,0.0
16bits,posit16,-1.4085213032581454,6.862744566605244e+19,0.0
16bits,float16,-1.3984962406015038,2.369868627127494e+19,0.0
16bits,posit16,-1.3984962406015038,2.369868627127494e+19,0.0
16bits,float16,-1.3884711779448622,8.097051142632215e+19,0.0
16bits,posit16,-1.3884711779448622,8.097051142632215e+19,0.0
16bits,float16,-1.3784461152882206,1.856397091318366e+20,0.0
16bits,posit16,-1.3784461152882206,1.1355620498047007e+19,0.0
16bits,float16,-1.368421052631579,1.0368175243874574e+20,0.0
16bits,posit16,-1.368421052631579,9.331357719687238e+19,0.0
16bits,float16,-1.3583959899749374,9.874452632103182e+17,0.0
16bits,posit16,-1.3583959899749374,9.874452632103182e+17,0.0
16bits,float16,-1.3483709273182958,1.0565664295779947e+20,0.0
16bits,posit16,-1.3483709273182958,9.133868667313352e+19,0.0
16bits,float16,-1.3383458646616542,1.8366481860086075e+20,0.0
16bits,posit16,-1.3383458646616542,1.3330511028436951e+19,0.0
16bits,float16,-1.3283208020050126,7.899562090566166e+19,0.0
16bits,posit16,-1.3283208020050126,7.899562090566166e+19,0.0
16bits,float16,-1.318295739348371,2.5673576793956487e+19,0.0
16bits,posit16,-1.318295739348371,2.5673576793956487e+19,0.0
16bits,float16,-1.3082706766917294,1.3034277449752412e+20,0.0
16bits,posit16,-1.3082706766917294,6.665255513776328e+19,0.0
16bits,float16,-1.2982456140350878,1.5897868707606053e+20,0.0
16bits,posit16,-1.2982456140350878,3.801664255908897e+19,0.0
16bits,float16,-1.2882205513784462,5.430948937620478e+19,0.0
16bits,posit16,-1.2882205513784462,5.430948937620478e+19,0.0
16bits,float16,-1.2781954887218046,5.03597083277619e+19,0.0
16bits,posit16,-1.2781954887218046,5.03597083277619e+19,0.0
16bits,float16,-1.268170426065163,1.5502890602985564e+20,0.0
16bits,posit16,-1.268170426065163,4.1966423610390905e+19,0.0
16bits,float16,-1.2581453634085213,1.3429255554258221e+20,0.0
16bits,posit16,-1.2581453634085213,6.270277409418568e+19,0.0
16bits,float16,-1.2481203007518797,2.9623357839386313e+19,0.0
16bits,posit16,-1.2481203007518797,2.9623357839386313e+19,0.0
16bits,float16,-1.2380952380952381,7.50458398596189e+19,0.0
16bits,posit16,-1.2380952380952381,7.50458398596189e+19,0.0
16bits,float16,-1.2280701754385965,1.7971503756446384e+20,0.0
16bits,posit16,-1.2280701754385965,1.7280292077107546e+19,0.0
16bits,float16,-1.218045112781955,1.0960642400639685e+20,0.0
16bits,posit16,-1.218045112781955,8.738890562907097e+19,0.0
16bits,float16,-1.2080200501253133,4.937226306030445e+18,0.0
16bits,posit16,-1.2080200501253133,4.937226306030445e+18,0.0
16bits,float16,-1.1979949874686717,9.973197139260762e+19,0.0
16bits,posit16,-1.1979949874686717,9.726335824076367e+19,0.0
16bits,float16,-1.1879699248120301,1.8958949017258715e+20,0.0
16bits,posit16,-1.1879699248120301,7.405839460197115e+18,0.0
16bits,float16,-1.1779448621553885,8.492029247128348e+19,0.0
16bits,posit16,-1.1779448621553885,8.492029247128348e+19,0.0
16bits,float16,-1.167919799498747,1.974890522580737e+19,0.0
16bits,posit16,-1.167919799498747,1.974890522580737e+19,0.0
16bits,float16,-1.1578947368421053,1.2441810292758762e+20,0.0
16bits,posit16,-1.1578947368421053,7.257722670806598e+19,0.0
16bits,float16,-1.1478696741854637,1.649033586374477e+20,0.0
16bits,posit16,-1.1478696741854637,3.209197099058485e+19,0.0
16bits,float16,-1.137844611528822,6.023416093847948e+19,0.0
16bits,posit16,-1.137844611528822,6.023416093847948e+19,0.0
16bits,float16,-1.1278195488721805,4.443503676398413e+19,0.0
16bits,posit16,-1.1278195488721805,4.443503676398413e+19,0.0
16bits,float16,-1.117794486215539,1.4910423446333886e+20,0.0
16bits,posit16,-1.117794486215539,4.78910951741976e+19,0.0
16bits,float16,-1.1077694235588973,1.4021722711023544e+20,0.0
16bits,posit16,-1.1077694235588973,5.6778102526205256e+19,0.0
16bits,float16,-1.0977443609022557,3.5548029405751943e+19,0.0
16bits,posit16,-1.0977443609022557,3.5548029405751943e+19,0.0
16bits,float16,-1.087719298245614,6.912116829414802e+19,0.0
16bits,posit16,-1.087719298245614,6.912116829414802e+19,0.0
16bits,float16,-1.0776942355889725,1.7379036599808898e+20,0.0
16bits,posit16,-1.0776942355889725,2.3204963639994753e+19,0.0
16bits,float16,-1.0676691729323309,1.1553109557499434e+20,0.0
16bits,posit16,-1.0676691729323309,8.146423406114398e+19,0.0
16bits,float16,-1.0576441102756893,1.0861897873122384e+19,0.0
16bits,posit16,-1.0576441102756893,1.0861897873122384e+19,0.0
16bits,float16,-1.0476190476190477,9.380729982777103e+19,0.0
16bits,posit16,-1.0476190476190477,9.380729982777103e+19,0.0
16bits,float16,-1.037593984962406,1.955141617434165e+20,0.0
16bits,posit16,-1.037593984962406,1.4811678913519892e+18,0.0
16bits,float16,-1.0275689223057645,9.08449640414232e+19,0.0
16bits,posit16,-1.0275689223057645,9.08449640414232e+19,0.0
16bits,float16,-1.0175438596491229,1.3824233656618273e+19,0.0
16bits,posit16,-1.0175438596491229,1.3824233656618273e+19,0.0
16bits,float16,-1.0075187969924813,1.1849343136147307e+20,0.0
16bits,posit16,-1.0075187969924813,7.850189827393564e+19,0.0
16bits,float16,-0.9974937343358397,2.6167299424023196e+19,0.0
16bits,posit16,-0.9974937343358397,2.6167299424023196e+19,0.0
16bits,float16,-0.987468671679198,6.615883250850295e+19,0.0
16bits,posit16,-0.987468671679198,3.2338832309702095e+19,0.0
16bits,float16,-0.9774436090225564,3.851036519320021e+19,0.0
16bits,posit16,-0.9774436090225564,3.851036519320021e+19,0.0
16bits,float16,-0.9674185463659148,5.3815766742717465e+19,0.0
16bits,posit16,-0.9674185463659148,4.468189807007339e+19,0.0
16bits,float16,-0.9573934837092732,5.085343095822852e+19,0.0
16bits,posit16,-0.9573934837092732,4.7644233857668415e+19,0.0
16bits,float16,-0.9473684210526316,4.147270097787414e+19,0.0
16bits,posit16,-0.9473684210526316,4.147270097787414e+19,0.0
16bits,float16,-0.93734335839599,6.3196496725022155e+19,0.0
16bits,posit16,-0.93734335839599,3.530116809309957e+19,0.0
16bits,float16,-0.9273182957393484,2.9129635211900924e+19,0.0
16bits,posit16,-0.9273182957393484,2.9129635211900924e+19,0.0
16bits,float16,-0.9172932330827068,7.553956249076058e+19,0.0
16bits,posit16,-0.9172932330827068,2.295810232776795e+19,0.0
16bits,float16,-0.9072681704260652,1.6786569439871715e+19,0.0
16bits,posit16,-0.9072681704260652,1.6786569439871715e+19,0.0
16bits,float16,-0.8972431077694236,8.788262825907664e+19,0.0
16bits,posit16,-0.8972431077694236,1.0615036557754874e+19,0.0
16bits,float16,-0.887218045112782,4.4435036732792366e+18,0.0
16bits,posit16,-0.887218045112782,4.4435036732792366e+18,0.0
16bits,float16,-0.8771929824561404,9.676963560950409e+19,0.0
16bits,posit16,-0.8771929824561404,1.7280292076070077e+18,0.0
