pair,fmt,I,rmse_mean
16bits,float16,0.2,0.000999082251998722
16bits,posit16,0.2,0.0002497705630091716
16bits,float16,0.2947368421052632,0.0008980227535097001
16bits,posit16,0.2947368421052632,0.0008980227535097001
16bits,float16,0.3894736842105263,0.0007018608825628334
16bits,posit16,0.3894736842105263,0.0005328943737960756
16bits,float16,0.4842105263157895,0.0008025731273408354
16bits,posit16,0.4842105263157895,0.0004271760193890728
16bits,float16,0.5789473684210527,0.0007771999897234068
16bits,posit16,0.5789473684210527,0.00045336666067079533
16bits,float16,0.6736842105263159,0.0007210259046019373
16bits,posit16,0.6736842105263159,0.0005021430407070468
16bits,float16,0.7684210526315789,0.0006695240542737153
16bits,posit16,0.7684210526315789,0.0005536448910352547
16bits,float16,0.8631578947368421,0.0006180222039454933
16bits,posit16,0.8631578947368421,0.0006051467413670011
16bits,float16,0.9578947368421054,0.0005665203536172995
16bits,posit16,0.9578947368421054,0.0005665203536172995
16bits,float16,1.0526315789473684,1.0279605263150415e-06
16bits,posit16,1.0526315789473684,1.0279605263150415e-06
16bits,float16,1.1473684210526316,9.251644736849583e-07
16bits,posit16,1.1473684210526316,9.251644736849583e-07
16bits,float16,1.2421052631578948,8.2236842104777e-07
16bits,posit16,1.2421052631578948,8.2236842104777e-07
16bits,float16,1.3368421052631578,7.195723684176869e-07
16bits,posit16,1.3368421052631578,7.195723684176869e-07
16bits,float16,1.431578947368421,6.167763157947093e-07
16bits,posit16,1.431578947368421,6.167763157947093e-07
16bits,float16,1.5263157894736843,5.139802631575208e-07
16bits,posit16,1.5263157894736843,5.139802631575208e-07
16bits,float16,1.6210526315789473,4.1118421052743776e-07
16bits,posit16,1.6210526315789473,4.1118421052743776e-07
16bits,float16,1.7157894736842105,3.0838815789735465e-07
16bits,posit16,1.7157894736842105,3.0838815789735465e-07
16bits,float16,1.8105263157894738,2.055921052601661e-07
16bits,posit16,1.8105263157894738,2.055921052601661e-07
16bits,float16,1.9052631578947368,1.0279605263008305e-07
16bits,posit16,1.9052631578947368,1.0279605263008305e-07
16bits,float16,2.0,0.0
16bits,posit16,2.0,0.0
24bits,float24,0.2,2.3415990273662146e-05
24bits,posit20,0.2,1.56106601916548e-05
24bits,posit24,0.2,9.756662673723326e-07
24bits,float24,0.2947368421052632,2.867328085085319e-05
24bits,posit20,0.2947368421052632,2.9283350658360517e-05
24bits,posit24,0.2947368421052632,3.0503490106070787e-07
24bits,float24,0.3894736842105263,7.311050861815715e-06
24bits,posit20,0.3894736842105263,7.311050861815715e-06
24bits,posit24,0.3894736842105263,2.3354745765686857e-06
24bits,float24,0.4842105263157895,3.397991063079075e-05
24bits,posit20,0.4842105263157895,3.397991063079075e-05
24bits,posit24,0.4842105263157895,3.539574041582227e-07
24bits,float24,0.5789473684210527,3.0359374595448687e-05
24bits,posit20,0.5789473684210527,8.095833225716831e-06
24bits,posit24,0.5789473684210527,1.5179687304822664e-06
24bits,float24,0.6736842105263159,5.2306566773694385e-06
24bits,posit20,0.6736842105263159,3.299337286365045e-05
24bits,posit24,0.6736842105263159,4.5265298474816974e-07
24bits,float24,0.7684210526315789,1.8508477464557417e-05
24bits,posit20,0.7684210526315789,1.8508477464557417e-05
24bits,posit24,0.7684210526315789,6.035373059347648e-07
