pair,fmt,I,rmse,rate_Hz,rel
16bits,float16,0.2,0.0012336528227375387,1990.0,1.8641105401812763e-05
16bits,posit16,0.2,0.0003084132056946322,1990.0,4.660276350628412e-06
16bits,float16,0.20904522613065327,0.0015374165831275048,1990.0,2.3357454026358787e-05
16bits,posit16,0.20904522613065327,4.64944531786583e-06,1990.0,7.063746186374934e-08
16bits,float16,0.21809045226130655,0.0012343769584226897,1990.0,1.889419240353765e-05
16bits,posit16,0.21809045226130655,0.00029705081418538424,1990.0,4.546856775449358e-06
16bits,float16,0.2271356783919598,0.0009327087740629835,1990.0,1.4354586770263066e-05
16bits,posit16,0.2271356783919598,0.0005987189985328253,1990.0,9.21441295981827e-06
16bits,float16,0.2361809045226131,0.0006310405897159212,1990.0,9.765234213884134e-06
16bits,posit16,0.2361809045226131,0.0006310405897159212,1990.0,9.765234213884134e-06
16bits,float16,0.24522613065326634,0.0002516024563907105,2490.0,3.712323039379546e-06
16bits,posit16,0.24522613065326634,0.0002516024563907105,2490.0,3.712323039379546e-06
16bits,float16,0.2542713567839196,0.0023185048784814936,2490.0,3.43505878937487e-05
16bits,posit16,0.2542713567839196,2.1162823437318773e-05,2490.0,3.135449199493099e-07
16bits,float16,0.2633165829145729,0.002130390892400803,2490.0,3.1694967261032634e-05
16bits,posit16,0.2633165829145729,0.00020927680951667767,2490.0,3.1135232739566534e-06
16bits,float16,0.2723618090452261,0.0018999512594470567,2490.0,2.838494236185137e-05
16bits,posit16,0.2723618090452261,0.00043971644246797983,2490.0,6.569287402984322e-06
16bits,float16,0.2814070351758794,0.0016576453717841886,2490.0,2.492078610128817e-05
16bits,posit16,0.2814070351758794,0.0006653928605055166,2490.0,1.0003414139262923e-05
16bits,float16,0.2904522613065327,0.0014288436162365882,2490.0,2.157094757321058e-05
16bits,posit16,0.2904522613065327,0.0008941946160483516,2490.0,1.3499465556529272e-05
16bits,float16,0.29949748743718596,0.001200041860699248,2490.0,1.8193023619763375e-05
16bits,posit16,0.29949748743718596,0.001122996371590317,2490.0,1.702498902943094e-05
16bits,float16,0.3085427135678392,0.0009712401051602286,2490.0,1.4786613491022618e-05
16bits,posit16,0.3085427135678392,0.0009712401051602286,2490.0,1.4786613491022618e-05
