step,time_ms,v_float64_brian,v_float16_brian,v_posit16_brian,v_float64_manual,v_float16_manual,v_posit16_manual,diff_brian_vs_manual_float64,diff_brian_vs_manual_float16
0,0.0,-70.0,-70.00732421875,,-69.8,-69.8125,-69.8125,-0.20000000000000284,-0.19482421875
1,0.1,-69.8,-69.82421875,,-69.602,-69.625,-69.625,-0.1979999999999933,-0.19921875
2,0.2,-69.598,-69.64111328125,,-69.40598,-69.4375,-69.4375,-0.1920199999999994,-0.20361328125
3,0.30000000000000004,-69.39398000000001,-69.4580078125,,-69.2119202,-69.25,-69.25,-0.18205980000001887,-0.2080078125
4,0.4,-69.1879198,-69.27490234375,,-69.019800998,-69.0625,-69.0625,-0.16811880200000928,-0.21240234375
5,0.5,-68.979798998,-69.091796875,,-68.82960298802,-68.875,-68.875,-0.15019600998000726,-0.216796875
6,0.6000000000000001,-68.76959698798001,-68.90869140625,,-68.6413069581398,-68.6875,-68.6875,-0.12829002984021542,-0.22119140625
7,0.7,-68.55729295785981,-68.7255859375,,-68.4548938885584,-68.5,-68.5,-0.10239906930141274,-0.2255859375
8,0.8,-68.3428658874384,-68.54248046875,,-68.27034494967282,-68.3125,-68.3125,-0.07252093776558866,-0.22998046875
9,0.9,-68.12629454631279,-68.29833984375,,-68.08764150017609,-68.125,-68.125,-0.03865304613670162,-0.17333984375
10,1.0,-67.90755749177592,-68.05419921875,,-67.90676508517433,-67.9375,-67.9375,-0.0007924066015903009,-0.11669921875
11,1.1,-67.68663306669367,-67.81005859375,,-67.72769743432258,-67.75,-67.75,0.04106436762890553,-0.06005859375
12,1.2000000000000002,-67.46349939736061,-67.56591796875,,-67.55042045997935,-67.5625,-67.5625,0.08692106261874244,-0.00341796875
13,1.3,-67.23813439133421,-67.32177734375,,-67.37491625537956,-67.375,-67.375,0.13678186404534642,0.05322265625
14,1.4,-67.01051573524757,-67.07763671875,,-67.20116709282577,-67.1875,-67.1875,0.19065135757820428,0.10986328125
15,1.5,-66.78062089260003,-66.83349609375,,-67.02915542189751,-67.0,-67.0,0.24853452929748698,0.16650390625
16,1.6,-66.54842710152603,-66.58935546875,,-66.85886386767854,-66.8125,-66.8125,0.31043676615250604,0.22314453125
17,1.7000000000000002,-66.3139113725413,-66.34521484375,,-66.69027522900176,-66.625,-66.625,0.37636385646045767,0.27978515625
18,1.8,-66.0770504862667,-66.10107421875,,-66.52337247671174,-66.4375,-66.4375,0.4463219904450426,0.33642578125
19,1.9,-65.83782099112938,-65.85693359375,,-66.35813875194462,-66.25,-66.25,0.5203177608152458,0.39306640625
20,2.0,-65.59619920104068,-65.61279296875,,-66.19455736442518,-66.0625,-66.0625,0.5983581633845034,0.44970703125
21,2.1,-65.35216119305107,-65.36865234375,,-66.03261179078093,-65.875,-65.875,0.6804505977298589,0.50634765625
22,2.2,-65.1056828049816,-65.12451171875,,-65.87228567287312,-65.6875,-65.6875,0.7666028678915211,0.56298828125
23,2.3,-64.85673963303141,-64.88037109375,,-65.71356281614439,-65.5,-65.5,0.8568231831129793,0.61962890625
24,2.4000000000000004,-64.60530702936174,-64.63623046875,,-65.55642718798295,-65.375,-65.375,0.9511201586212081,0.73876953125
25,2.5,-64.35136009965535,-64.39208984375,,-65.40086291610312,-65.25,-65.25,1.0495028164477702,0.85791015625
26,2.6,-64.0948737006519,-64.14794921875,,-65.2468542869421,-65.125,-65.125,1.1519805862901933,0.97705078125
27,2.7,-63.83582243765842,-63.90380859375,,-65.09438574407268,-65.0,-65.0,1.2585633064142598,1.09619140625
28,2.8,-63.574180662035005,-63.65966796875,,-64.94344188663196,-64.875,-64.875,1.3692612245969542,1.21533203125
29,2.9000000000000004,-63.30992246865535,-63.41552734375,,-64.79400746776564,-64.75,-64.75,1.4840849991102871,1.33447265625
30,3.0,-63.0430216933419,-63.17138671875,,-64.64606739308798,-64.625,-64.625,1.603045699746076,1.45361328125
31,3.1,-62.77345191027532,-62.92724609375,,-64.4996067191571,-64.5,-64.5,1.7261548088817804,1.57275390625
32,3.2,-62.50118642937807,-62.68310546875,,-64.35461065196553,-64.375,-64.375,1.8534242225874564,1.69189453125
33,3.3,-62.22619829367185,-62.408447265625,,-64.21106454544588,-64.25,-64.25,1.9848662517740294,1.841552734375
34,3.4000000000000004,-61.94846027660857,-62.1337890625,,-64.06895389999141,-64.125,-64.125,2.120493623382842,1.9912109375
35,3.5,-61.66794487937466,-61.859130859375,,-63.9282643609915,-63.96875,-63.96875,2.2603194816168397,2.109619140625
36,3.6,-61.38462432816841,-61.58447265625,,-63.78898171738158,-63.84375,-63.84375,2.4043573892131747,2.25927734375
37,3.7,-61.098470571450086,-61.309814453125,,-63.65109190020777,-63.71875,-63.71875,2.552621328757681,2.408935546875
38,3.8,-60.80945527716459,-61.03515625,,-63.51458098120569,-63.59375,-63.59375,2.7051257040411016,2.55859375
39,3.9000000000000004,-60.517549829936236,-60.72998046875,,-63.37943517139363,-63.46875,-63.46875,2.861885341457395,2.73876953125
40,4.0,-60.2227253282356,-60.4248046875,,-63.24564081967969,-63.34375,-63.34375,3.0229154914440954,2.9189453125
41,4.1000000000000005,-59.92495258151796,-60.11962890625,,-63.1131844114829,-63.21875,-63.21875,3.1882318299649413,3.09912109375
42,4.2,-59.62420210733313,-59.814453125,,-62.98205256736807,-63.09375,-63.09375,3.357850460034939,3.279296875
43,4.3,-59.320444128406464,-59.50927734375,,-62.85223204169439,-62.96875,-62.96875,3.5317879132879284,3.45947265625
44,4.4,-59.01364856969053,-59.2041015625,,-62.72370972127745,-62.84375,-62.84375,3.7100611515869204,3.6396484375
45,4.5,-58.703785055387435,-58.89892578125,,-62.596472624064674,-62.71875,-62.71875,3.892687568677239,3.81982421875
46,4.6,-58.390822905941306,-58.59375,,-62.47050789782403,-62.59375,-62.59375,4.079684991882722,4.0
47,4.7,-58.074731135000725,-58.28857421875,,-62.34580281884579,-62.46875,-62.46875,4.271071683845065,4.18017578125
48,4.800000000000001,-57.75547844635073,-57.9833984375,,-62.22234479065733,-62.34375,-62.34375,4.466866344306602,4.3603515625
49,4.8999999999999995,-57.43303323081424,-57.67822265625,,-62.10012134275076,-62.21875,-62.21875,4.667088111936522,4.54052734375
50,5.0,-57.10736356312238,-57.342529296875,,-61.979120129323256,-62.09375,-62.09375,4.8717565662008795,4.751220703125
51,5.1000000000000005,-56.77843719875359,-57.0068359375,,-61.859328928030024,-61.96875,-61.96875,5.080891729276431,4.9619140625
52,5.2,-56.44622157074113,-56.671142578125,,-61.740735638749726,-61.84375,-61.84375,5.294514068008596,5.172607421875
53,5.3,-56.11068378644855,-56.33544921875,,-61.62332828236223,-61.71875,-61.71875,5.512644495913683,5.38330078125
54,5.4,-55.771790624313034,-55.999755859375,,-61.50709499953861,-61.59375,-61.59375,5.735304375225574,5.593994140625
55,5.5,-55.42950853055616,-55.6640625,,-61.392024049543224,-61.46875,-61.46875,5.962515518987061,5.8046875
56,5.6,-55.083803615861726,-55.328369140625,,-61.27810380904779,-61.34375,-61.34375,6.194300193186066,6.015380859375
57,5.7,-54.73464165202034,-54.99267578125,,-61.16532277095732,-61.21875,-61.21875,6.430681118936974,6.22607421875
58,5.800000000000001,-54.381988068540544,-54.656982421875,,-61.05366954324774,-61.09375,-61.09375,6.671681474707199,6.436767578125
59,5.8999999999999995,-54.02580794922595,-54.290771484375,,-60.943132847815264,-60.96875,-60.96875,6.917324898589314,6.677978515625
60,6.0,-53.666066028718205,-53.924560546875,,-60.83370151933711,-60.84375,-60.84375,7.167635490618906,6.919189453125
61,6.1000000000000005,-53.30272668900539,-53.558349609375,,-60.72536450414374,-60.75,-60.75,7.422637815138351,7.191650390625
62,6.2,-52.93575395589544,-53.192138671875,,-60.6181108591023,-60.65625,-60.65625,7.682356903206859,7.464111328125
63,6.3,-52.565111495454396,-52.825927734375,,-60.51192975051128,-60.5625,-60.5625,7.946818255056883,7.736572265625
64,6.4,-52.19076261040894,-52.459716796875,,-60.406810453006166,-60.46875,-60.46875,8.216047842597227,8.009033203125
