step,time_ms,v_float64,v_float32,diff_float32,v_float16,diff_float16,v_posit16,diff_posit16
0,0.0,-69.8,-69.80000305175781,3.051757815342171e-06,-69.8125,0.012500000000002842,-69.8125,0.012500000000002842
1,0.1,-69.602,-69.60200500488281,5.0048828086346475e-06,-69.625,0.022999999999996135,-69.625,0.022999999999996135
2,0.2,-69.40598,-69.4059829711914,2.9711914066865575e-06,-69.4375,0.03152000000000044,-69.4375,0.03152000000000044
3,0.30000000000000004,-69.2119202,-69.21192169189453,1.4918945367980996e-06,-69.25,0.03807980000000555,-69.25,0.03807980000000555
4,0.4,-69.019800998,-69.01980590820312,4.910203131203161e-06,-69.0625,0.0426990020000062,-69.0625,0.0426990020000062
5,0.5,-68.82960298802,-68.82960510253906,2.114519062956788e-06,-68.875,0.04539701198000046,-68.875,0.04539701198000046
6,0.6000000000000001,-68.6413069581398,-68.64131164550781,4.6873680190628875e-06,-68.6875,0.04619304186020656,-68.6875,0.04619304186020656
7,0.7000000000000001,-68.4548938885584,-68.45489501953125,1.1309728478181569e-06,-68.5,0.04510611144159782,-68.5,0.04510611144159782
8,0.8,-68.27034494967282,-68.27034759521484,2.6455420254478668e-06,-68.3125,0.0421550503271817,-68.3125,0.0421550503271817
9,0.9,-68.08764150017609,-68.087646484375,4.984198909596671e-06,-68.125,0.0373584998239096,-68.125,0.0373584998239096
10,1.0,-67.90676508517433,-67.90676879882812,3.7136537969217898e-06,-67.9375,0.030734914825671922,-67.9375,0.030734914825671922
11,1.1,-67.72769743432258,-67.72769927978516,1.8454625774211308e-06,-67.75,0.02230256567742117,-67.75,0.02230256567742117
12,1.2000000000000002,-67.55042045997935,-67.55042266845703,2.2084776816200247e-06,-67.5625,0.01207954002065037,-67.5625,0.01207954002065037
13,1.3,-67.37491625537956,-67.37491607666016,1.7871940372060635e-07,-67.375,8.37446204400294e-05,-67.375,8.37446204400294e-05
14,1.4000000000000001,-67.20116709282577,-67.20116424560547,2.847220301305242e-06,-67.1875,0.013667092825770055,-67.1875,0.013667092825770055
15,1.5,-67.02915542189751,-67.0291519165039,3.5053936073836667e-06,-67.0,0.029155421897513634,-67.0,0.029155421897513634
16,1.6,-66.85886386767854,-66.8588638305664,3.711213025781035e-08,-66.8125,0.04636386767853651,-66.8125,0.04636386767853651
17,1.7000000000000002,-66.69027522900176,-66.69027709960938,1.8706076190255772e-06,-66.625,0.06527522900175597,-66.625,0.06527522900175597
18,1.8,-66.52337247671174,-66.52337646484375,3.988132007748391e-06,-66.4375,0.08587247671174225,-66.4375,0.08587247671174225
19,1.9000000000000001,-66.35813875194462,-66.35813903808594,2.86141315086752e-07,-66.25,0.10813875194462241,-66.25,0.10813875194462241
20,2.0,-66.19455736442518,-66.1945571899414,1.744837732076121e-07,-66.0625,0.13205736442517946,-66.0625,0.13205736442517946
21,2.1,-66.03261179078093,-66.03260803222656,3.758554370847378e-06,-65.875,0.15761179078093335,-65.875,0.15761179078093335
22,2.2,-65.87228567287312,-65.87228393554688,1.7373262437558878e-06,-65.6875,0.18478567287311876,-65.6875,0.18478567287311876
23,2.3000000000000003,-65.71356281614439,-65.71356201171875,8.044256389894144e-07,-65.5,0.213562816144389,-65.5,0.213562816144389
24,2.4000000000000004,-65.55642718798295,-65.55642700195312,1.8602982265747414e-07,-65.375,0.18142718798294766,-65.375,0.18142718798294766
25,2.5,-65.40086291610312,-65.40086364746094,7.313578151979527e-07,-65.25,0.1508629161031223,-65.25,0.1508629161031223
